  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 352440 JACAREI
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jul";"Total"
"0201010275 BIOPSIA DE MEDULA OSSEA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"0201010372 BIOPSIA DE PELE E PARTES MOLES";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0201010631 PUNCAO LOMBAR";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO";-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"0202010120 DOSAGEM DE ACIDO URICO";2;-;1;2;4;4;1;17;3;5;8;1;6;25;5;2;4;5;1;-;-;6;11;9;2;6;-;130
"0202010180 DOSAGEM DE AMILASE";2;-;9;8;24;16;14;83;25;30;29;32;20;91;48;32;21;19;16;-;6;49;98;32;2;8;2;716
"0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES";19;1;22;22;43;29;57;152;61;75;75;111;97;188;108;62;61;29;19;5;10;68;139;16;3;3;1;1476
"0202010210 DOSAGEM DE CALCIO";27;3;23;41;68;49;122;471;192;326;186;281;214;424;193;220;202;77;31;13;21;77;198;73;5;15;8;3560
"0202010228 DOSAGEM DE CALCIO IONIZAVEL";-;-;2;7;19;5;34;21;12;34;16;37;20;90;36;18;33;24;42;-;-;2;49;7;27;-;-;535
"0202010260 DOSAGEM DE CLORETO";2;-;7;9;15;17;13;53;15;24;7;24;25;34;19;20;22;11;2;-;3;16;17;27;-;2;-;384
"0202010279 DOSAGEM DE COLESTEROL HDL";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202010287 DOSAGEM DE COLESTEROL LDL";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"0202010295 DOSAGEM DE COLESTEROL TOTAL";-;-;-;-;-;1;-;2;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"0202010317 DOSAGEM DE CREATININA";31;3;75;275;343;204;200;1008;389;601;485;806;664;1202;908;664;617;334;121;48;76;317;540;116;36;62;11;10136
"0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK)";3;5;59;120;157;135;142;737;222;480;193;361;316;604;431;424;370;187;73;57;61;273;313;79;6;35;3;5846
"0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB";1;-;13;29;36;31;24;9;22;15;32;27;44;66;56;15;17;9;2;-;1;-;11;1;-;-;-;461
"0202010368 DOSAGEM DE DESIDROGENASE LATICA";8;2;18;23;74;77;36;159;44;80;103;146;121;230;206;174;78;35;24;15;15;56;35;8;-;3;-;1770
"0202010384 DOSAGEM DE FERRITINA";1;-;1;1;-;-;-;1;-;-;-;1;-;-;1;1;5;6;3;2;-;1;5;-;2;-;-;31
"0202010392 DOSAGEM DE FERRO SERICO";-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;6
"0202010422 DOSAGEM DE FOSFATASE ALCALINA";4;1;14;10;26;17;19;80;18;33;30;45;44;87;50;31;21;16;11;-;5;25;22;12;1;2;1;625
"0202010430 DOSAGEM DE FOSFORO";3;-;6;9;15;15;11;48;11;26;13;23;25;49;37;17;20;11;2;-;2;17;13;24;-;2;-;399
"0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)";3;1;13;8;22;13;23;83;16;27;44;44;53;91;54;21;19;18;11;-;6;32;73;27;1;2;1;706
"0202010473 DOSAGEM DE GLICOSE";18;1;28;76;102;94;137;485;86;286;119;265;159;346;223;126;76;44;19;5;16;132;284;73;5;29;3;3237
"0202010538 DOSAGEM DE LACTATO";14;1;31;48;52;62;57;802;232;363;192;386;301;470;340;281;313;155;67;39;58;182;287;60;8;48;4;4853
"0202010546 DOSAGEM DE LEUCINO-AMINOPEPTIDASE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010554 DOSAGEM DE LIPASE";-;-;4;4;14;11;7;41;12;11;4;9;11;17;9;15;14;10;8;-;3;16;14;6;1;6;2;249
"0202010562 DOSAGEM DE MAGNESIO";27;2;26;64;90;64;141;726;216;412;241;424;303;543;321;324;295;144;79;23;34;145;391;94;33;52;11;5225
"0202010600 DOSAGEM DE POTASSIO";31;3;65;288;353;189;197;990;384;603;441;755;620;1103;935;652;617;341;119;47;76;312;546;121;37;62;14;9901
"0202010619 DOSAGEM DE PROTEINAS TOTAIS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES";15;1;13;11;16;19;26;75;16;32;26;48;43;60;21;20;27;11;15;3;3;27;18;21;1;2;1;571
"0202010635 DOSAGEM DE SODIO";27;3;68;286;348;186;194;974;361;591;465;715;544;1041;867;600;594;331;117;47;76;322;539;121;36;62;11;9526
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";11;2;31;79;134;59;44;288;94;141;92;115;88;212;182;91;76;55;32;6;11;105;212;42;7;8;2;2219
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";11;2;31;86;132;59;44;284;90;138;86;102;85;209;172;81;74;55;32;6;11;103;209;42;7;8;2;2161
"0202010660 DOSAGEM DE TRANSFERRINA";-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;8
"0202010678 DOSAGEM DE TRIGLICERIDEOS";-;-;-;-;-;1;7;3;3;4;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;22
"0202010694 DOSAGEM DE UREIA";30;3;76;263;351;200;198;1005;355;533;411;664;517;977;812;565;590;332;119;48;76;317;539;118;36;62;11;9208
"0202010708 DOSAGEM DE VITAMINA B12";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;4
"0202010724 ELETROFORESE DE PROTEINAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"0202010732 GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )";40;2;71;265;345;219;250;1212;410;745;494;964;812;1460;1103;774;685;354;122;63;76;275;463;126;42;69;1;11442
"0202020029 CONTAGEM DE PLAQUETAS";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"0202020037 CONTAGEM DE RETICULOCITOS";-;-;-;-;-;-;1;3;2;2;-;-;1;2;3;-;1;-;-;1;-;-;2;-;-;-;-;18
"0202020070 DETERMINACAO DE TEMPO DE COAGULACAO";6;-;3;28;23;14;35;20;22;22;35;24;35;61;41;22;4;5;3;-;-;1;1;1;1;-;-;407
"0202020126 DETERMINACAO DE TEMPO DE TROMBINA";-;-;-;16;6;2;1;-;8;12;12;12;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;74
"0202020134 DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)";20;2;32;87;108;60;118;815;264;440;234;468;343;575;398;399;363;179;71;47;67;235;391;81;12;55;7;5871
"0202020142 DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)";20;3;33;54;88;53;117;836;259;425;231;461;339;583;399;398;363;180;71;48;67;243;398;85;12;55;8;5829
"0202020150 DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS)";-;-;1;3;1;2;1;8;4;2;1;4;2;3;5;2;5;1;2;-;-;5;6;-;1;1;-;60
"0202020169 DOSAGEM DE ANTICOAGULANTE CIRCULANTE";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;-;-;1;-;1;1;-;-;1;-;9
"0202020304 DOSAGEM DE HEMOGLOBINA";-;-;-;1;-;-;-;-;1;1;-;2;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;8
"0202020371 HEMATOCRITO";-;-;-;1;-;-;-;-;1;1;-;1;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;7
"0202020380 HEMOGRAMA COMPLETO";33;3;77;271;369;213;201;984;382;652;493;802;639;1203;957;656;620;328;120;55;75;319;537;115;36;62;11;10213
"0202020495 PROVA DE RETRACAO DO COAGULO";-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"0202030075 DETERMINACAO DE FATOR REUMATOIDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA";-;-;12;77;106;36;140;91;41;115;48;115;48;211;98;227;131;32;46;-;2;4;51;27;27;-;-;1685
"0202030091 DOSAGEM DE ALFA-FETOPROTEINA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;5
"0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"0202030202 DOSAGEM DE PROTEINA C REATIVA";16;3;36;67;125;126;39;788;301;456;341;584;463;760;604;314;353;221;62;52;66;270;460;80;7;52;9;6655
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"0202030270 PESQUISA DE ANTICORPOS ANTI-DNA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202030300 PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)";-;-;1;2;2;2;-;2;-;4;1;2;1;6;2;2;3;1;1;-;-;-;2;-;-;-;-;34
"0202030636 PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)";-;-;-;1;2;2;-;4;-;4;-;5;1;6;2;3;-;2;1;-;-;1;1;-;-;-;-;35
"0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)";-;-;1;2;2;2;-;10;-;5;-;5;1;9;2;4;2;2;1;-;-;2;5;-;-;-;-;55
"0202030717 PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO";-;-;-;-;-;-;-;-;-;-;-;5;2;10;4;10;10;10;3;-;4;40;51;3;-;1;2;155
"0202030784 PESQUISA DE ANTICORPOS IGG E IGM CONTRA ANTIGENO CENTRAL DO VIRUS DA HEPATITE B (ANTI-HBC-TOTAL)";-;-;-;1;2;2;-;1;-;4;-;2;1;5;2;2;-;1;1;-;-;-;-;-;-;-;-;24
"0202030792 PESQUISA DE ANTICORPOS IGG CONTRA ARBOVIRUS";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"0202030806 PESQUISA DE ANTICORPOS IGG CONTRA O VIRUS DA HEPATITE A (HAV-IGG)";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2
