  Dados detalhados das AIH - por local internação - São Paulo
Valor aprovado por Procedimento e Ano/mês processamento
Município: 352440 JACAREI
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jul";"Total"
"0201010275 BIOPSIA DE MEDULA OSSEA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200,00;-;-;-;-;-;-;-;200,00
"0201010372 BIOPSIA DE PELE E PARTES MOLES";-;-;-;-;-;-;-;-;-;-;-;25,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25,83
"0201010542 BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNE";-;-;-;-;97,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97,00
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80,00;-;-;-;-;-;-;-;80,00
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;10,65;-;-;-;-;41,92;20,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73,53
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";24,00;-;-;-;48,00;-;24,00;24,00;-;-;40,78;40,78;-;-;-;81,56;122,34;-;-;-;-;-;-;-;-;-;-;405,46
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";-;-;-;-;460,00;-;-;-;-;-;-;789,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1249,12
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";-;-;279,58;79,88;159,76;199,70;199,70;918,62;119,82;159,76;239,64;399,40;199,70;519,22;279,58;439,34;199,70;-;119,82;119,82;119,82;199,70;119,82;199,70;-;39,94;67,86;5379,88
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;79,20;-;-;79,20;-;198,00;-;39,60;-;-;-;-;-;-;-;79,20;-;-;-;79,20;-;-;-;-;39,60;594,00
"0205010059 ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO";-;-;42,90;42,90;-;42,90;-;-;-;42,90;-;-;42,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;214,50
