  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 354990 SAO JOSE DOS CAMPOS
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"Total"
"0201010330 BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0201010631 PUNCAO LOMBAR";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL";-;1;22;25;51;68;34;20;11;38;4;34;53;36;41;12;10;-;3;-;-;-;-;-;-;-;-;463
"0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO";-;-;-;-;-;-;1;1;-;1;2;1;4;5;3;-;-;-;-;-;-;-;-;4;-;-;-;22
"0202010104 DOSAGEM DE ACETONA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010120 DOSAGEM DE ACIDO URICO";-;1;-;1;1;-;-;1;2;2;4;9;5;3;6;-;2;-;2;-;1;2;2;5;1;-;-;50
"0202010180 DOSAGEM DE AMILASE";1;7;53;77;74;181;58;60;36;117;67;157;154;139;84;38;122;7;18;2;32;72;106;47;22;27;-;1758
"0202010198 DOSAGEM DE AMONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES";1;87;405;580;538;1101;408;478;176;865;732;1329;1912;1968;1528;772;1050;189;361;73;112;458;365;274;79;126;2;15969
"0202010210 DOSAGEM DE CALCIO";2;51;215;149;116;302;135;164;78;380;368;328;1146;1000;668;255;235;71;60;24;37;240;192;134;39;54;3;6446
"0202010228 DOSAGEM DE CALCIO IONIZAVEL";-;10;128;256;344;160;127;93;57;153;317;324;412;477;272;173;194;90;-;66;40;165;235;176;57;70;-;4396
"0202010244 DOSAGEM DE CATECOLAMINAS";-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"0202010260 DOSAGEM DE CLORETO";-;19;102;127;68;163;53;88;39;73;92;126;359;215;201;42;39;13;1;27;6;40;77;24;8;-;-;2002
"0202010279 DOSAGEM DE COLESTEROL HDL";-;1;2;3;7;1;2;-;1;-;2;1;2;4;1;2;-;-;-;-;-;-;-;-;-;-;-;29
"0202010287 DOSAGEM DE COLESTEROL LDL";-;1;-;1;2;-;1;-;-;-;1;1;-;4;1;2;-;-;-;-;-;1;-;-;-;-;-;15
"0202010295 DOSAGEM DE COLESTEROL TOTAL";-;1;-;5;7;1;2;1;2;-;1;2;3;4;1;2;-;-;-;-;-;-;-;-;-;-;-;32
"0202010317 DOSAGEM DE CREATININA";4;181;806;1207;1037;1747;683;792;359;1652;1793;2330;3910;3713;2835;1450;1562;480;506;166;213;743;828;568;195;167;5;29932
"0202010325 DOSAGEM DE CREATINOFOSFOQUINASE (CPK)";2;74;426;409;511;599;187;182;105;215;405;628;564;721;655;193;322;112;34;15;30;141;125;68;21;11;-;6755
"0202010333 DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB";2;10;85;89;91;182;67;71;27;54;55;75;196;178;216;93;64;31;21;10;10;68;86;49;13;7;-;1850
"0202010368 DOSAGEM DE DESIDROGENASE LATICA";-;29;252;281;234;416;116;132;109;342;354;524;1244;1164;1008;296;252;88;60;14;23;50;48;30;16;2;-;7084
"0202010384 DOSAGEM DE FERRITINA";-;12;73;114;145;134;25;24;20;26;51;66;39;36;24;7;10;4;-;3;-;3;10;2;-;-;-;828
"0202010392 DOSAGEM DE FERRO SERICO";-;-;1;3;2;2;2;3;1;3;10;4;9;6;5;3;4;2;1;1;-;3;3;3;-;-;-;71
"0202010406 DOSAGEM DE FOLATO";-;-;1;1;1;-;2;-;-;2;9;3;5;6;6;1;3;-;-;-;-;2;1;3;-;-;-;46
"0202010414 DOSAGEM DE FOSFATASE ACIDA TOTAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"0202010422 DOSAGEM DE FOSFATASE ALCALINA";1;16;115;105;76;204;49;73;32;69;66;158;239;311;225;60;123;27;15;11;23;78;112;48;15;17;-;2268
"0202010430 DOSAGEM DE FOSFORO";1;2;8;22;14;12;12;12;6;49;53;153;378;441;369;208;346;57;57;5;12;60;84;55;11;33;-;2460
"0202010465 DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)";2;16;135;118;136;318;80;114;44;151;129;189;310;354;251;73;129;35;19;6;24;94;123;62;18;26;-;2956
"0202010473 DOSAGEM DE GLICOSE";-;45;156;108;156;224;64;113;48;100;161;182;161;312;231;87;111;38;8;40;15;25;35;30;8;13;-;2471
"0202010490 DOSAGEM DE HAPTOGLOBINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA";-;-;1;4;7;3;2;1;4;5;6;3;6;8;9;2;-;1;-;-;-;2;2;5;5;-;-;76
"0202010538 DOSAGEM DE LACTATO";-;59;226;291;430;207;111;86;62;203;425;428;534;587;351;189;169;101;7;49;58;208;350;236;70;112;-;5549
"0202010546 DOSAGEM DE LEUCINO-AMINOPEPTIDASE";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"0202010554 DOSAGEM DE LIPASE";1;5;49;52;58;168;59;53;32;108;57;142;146;118;63;35;87;5;19;1;23;62;94;40;15;14;-;1506
"0202010562 DOSAGEM DE MAGNESIO";-;140;565;712;646;869;450;483;245;1265;1178;1803;3058;2997;2274;1202;1365;355;426;118;147;548;584;419;132;150;5;22136
"0202010600 DOSAGEM DE POTASSIO";4;172;810;1237;1069;1764;705;794;366;1702;1800;2346;3976;3725;2823;1448;1570;486;518;170;197;779;860;569;193;169;5;30257
"0202010619 DOSAGEM DE PROTEINAS TOTAIS";-;-;-;15;8;3;-;2;-;1;2;-;1;1;1;7;-;-;1;-;-;3;12;3;4;-;-;64
"0202010627 DOSAGEM DE PROTEINAS TOTAIS E FRACOES";-;6;76;64;76;192;52;63;31;88;99;98;216;213;205;92;97;31;17;9;7;35;54;34;9;7;-;1871
"0202010635 DOSAGEM DE SODIO";4;172;806;1210;1044;1726;725;803;362;1675;1768;2358;3880;3636;2816;1407;1548;495;521;167;196;752;854;569;193;169;5;29861
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";2;71;375;409;378;593;202;230;102;349;433;682;897;1027;893;299;427;93;86;36;48;185;209;126;47;51;1;8251
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";2;70;374;400;376;588;216;235;104;366;427;666;877;1027;918;311;390;94;86;34;50;210;208;128;51;50;1;8259
"0202010660 DOSAGEM DE TRANSFERRINA";-;-;1;2;1;-;2;-;1;1;4;1;2;2;1;2;3;1;-;1;-;-;-;3;-;-;-;28
"0202010678 DOSAGEM DE TRIGLICERIDEOS";-;1;27;75;27;28;4;5;3;1;10;20;13;15;5;5;-;-;-;-;-;2;4;-;1;-;-;246
"0202010694 DOSAGEM DE UREIA";4;179;778;1206;1044;1671;694;773;361;1665;1796;2375;3883;3684;2823;1432;1597;480;487;172;192;741;824;567;195;165;5;29793
"0202010708 DOSAGEM DE VITAMINA B12";-;-;-;1;1;-;2;-;1;2;9;3;5;5;6;1;4;1;-;-;-;5;1;2;-;-;-;49
"0202010724 ELETROFORESE DE PROTEINAS";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;2;-;-;-;6
