Anomalia ou Defeito Congênito em Nascidos Vivos - SINASC
Freq por DN por UF Nascim. e Fx Etária Mãe
Período:2013-2020
"UF Nascim.";"< 15";"15-19";"20-34";"35-39";"40-44";"45-49";"50 e+";"Ign";"Total"
"11 Rondônia";241;5675;19202;1668;346;25;3;190391;217551
"12 Acre";292;4591;11266;1200;339;25;6;119145;136864
"13 Amazonas";1534;19970;50334;5221;1361;95;22;543549;622086
"14 Roraima";224;2521;7040;796;193;15;4;87224;98017
"15 Pará";2296;35379;90764;7184;1844;153;13;961876;1099509
"16 Amapá";302;4090;10904;1203;315;25;1;118648;135488
"17 Tocantins";310;5428;16102;1482;341;25;-;169224;192912
"21 Maranhão";1778;27404;76375;5725;1452;122;27;781088;893971
"22 Piauí";592;10067;34123;3354;792;76;9;353590;402603
"23 Ceará";1385;24623;85396;10701;2705;201;15;898367;1023393
"24 Rio Grande do Norte";544;9282;32326;4027;1031;53;4;328128;375395
"25 Paraíba";571;10945;39189;4758;1110;96;2;402621;459292
"26 Pernambuco";1683;29244;97797;11522;2767;183;19;963557;1106772
"27 Alagoas";919;12904;33209;3501;885;68;5;349523;401014
"28 Sergipe";465;7448;23896;3211;849;69;7;242451;278396
"29 Bahia";2475;39884;136048;17253;4382;317;31;1390597;1590987
"31 Minas Gerais";1669;40674;181758;26886;6588;420;26;1814129;2072150
"32 Espírito Santo";465;9283;37680;5131;1142;58;8;385332;439099
"33 Rio de Janeiro";1868;39452;153550;23259;5704;348;16;1540756;1764953
"35 São Paulo";3474;87903;433648;69670;16599;977;47;4225056;4837374
"41 Paraná";1264;27600;107592;15150;3675;214;6;1088118;1243619
"42 Santa Catarina";526;13558;64012;9308;2245;104;9;679368;769130
"43 Rio Grande do Sul";910;21736;98009;16483;4135;206;9;980139;1121627
"50 Mato Grosso do Sul";531;8623;28810;3131;731;44;9;301405;343284
"51 Mato Grosso";615;10675;37257;3635;719;30;8;397959;450898
"52 Goiás";670;14387;59369;6474;1281;60;9;593589;675839
"53 Distrito Federal";386;8656;40147;6604;1665;128;7;396696;454289
"Total";27989;532002;2005803;268537;65196;4137;322;20302526;23206512
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Nascidos Vivos - SINASC
 Notas:
 
 *Data da publicação dos dados 12/2020.
 
