 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Ano/mês processamento e Grupo procedimento
Município: 354990 SAO JOSE DOS CAMPOS
Grupo procedimento: 02 Procedimentos com finalidade diagnóstica, 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos
Período:2019-2022
"Ano/mês processamento";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"Total"
"2019";52966,35;27432533,84;40247589,69;67733089,88
"..Janeiro/2019";14308,07;2417356,77;3033727,91;5465392,75
"..Fevereiro/2019";5266,00;1775686,74;2972549,16;4753501,90
"..Março/2019";1498,50;2324696,87;3289549,29;5615744,66
"..Abril/2019";433,04;2162981,60;3205227,68;5368642,32
"..Maio/2019";1877,70;2267604,34;3172797,82;5442279,86
"..Junho/2019";3536,17;2236010,90;3297949,41;5537496,48
"..Julho/2019";1823,45;2435918,66;3154950,66;5592692,77
"..Agosto/2019";7163,21;2521368,28;4145527,87;6674059,36
"..Setembro/2019";1732,76;2295564,93;3622984,22;5920281,91
"..Outubro/2019";5785,90;2539168,85;3654457,90;6199412,65
"..Novembro/2019";7613,77;2153843,84;3641127,77;5802585,38
"..Dezembro/2019";1927,78;2302332,06;3056740,00;5360999,84
"2020";87312,80;30133153,94;38798276,69;69018743,43
"..Janeiro/2020";2972,18;2283240,48;3273467,66;5559680,32
"..Fevereiro/2020";4404,33;2168476,26;3559182,51;5732063,10
"..Março/2020";1758,43;2262797,50;3586414,07;5850970,00
"..Abril/2020";10156,23;2178421,65;2888556,05;5077133,93
"..Maio/2020";28506,06;2205074,09;2806494,53;5040074,68
"..Junho/2020";5861,14;2626005,94;2877365,20;5509232,28
"..Julho/2020";7873,46;2721868,00;2851212,28;5580953,74
"..Agosto/2020";4452,68;3667566,00;3205286,18;6877304,86
"..Setembro/2020";7477,99;3210237,05;3259378,19;6477093,23
"..Outubro/2020";6565,31;2233978,81;3326567,70;5567111,82
"..Novembro/2020";4212,89;2577996,46;3666848,54;6249057,89
"..Dezembro/2020";3072,10;1997491,70;3497503,78;5498067,58
"2021";155479,02;41377413,78;39383526,73;80916419,53
"  Janeiro/2021";5404,52;4005790,18;3266532,10;7277726,80
"  Fevereiro/2021";5995,74;3181547,96;2754037,72;5941581,42
"  Março/2021";5811,88;3766912,64;3091423,32;6864147,84
"  Abril/2021";3900,15;4546539,54;3272218,13;7822657,82
"  Maio/2021";8874,08;4450959,62;3119924,42;7579758,12
"  Junho/2021";15852,90;3962664,10;2861290,05;6839807,05
"  Julho/2021";6528,60;3249750,92;3625284,31;6881563,83
"  Agosto/2021";3981,74;3423863,82;3611597,30;7039442,86
"  Setembro/2021";60768,14;2935179,69;3523246,09;6519193,92
"  Outubro/2021";12686,22;2762333,37;3783028,24;6558047,83
"  Novembro/2021";3398,56;2673219,56;3355569,81;6032187,93
"  Dezembro/2021";22276,49;2418652,38;3119375,24;5560304,11
"2022";118288,27;35527098,18;46483399,59;82128786,04
"..Janeiro/2022";9640,87;3144049,90;3408658,89;6562349,66
"..Fevereiro/2022";1750,32;2766137,51;3263013,51;6030901,34
"..Março/2022";5352,98;3187040,90;3879706,55;7072100,43
"..Abril/2022";5054,19;2710668,72;3443320,27;6159043,18
"..Maio/2022";7017,16;3194351,97;4198765,08;7400134,21
"..Junho/2022";7269,10;2350265,13;3435703,38;5793237,61
"..Julho/2022";2467,03;3432245,76;4359289,53;7794002,32
"..Agosto/2022";1296,28;2768551,11;4555591,33;7325438,72
"..Setembro/2022";42220,79;2935037,02;4176966,31;7154224,12
"..Outubro/2022";9997,55;3377608,66;4162657,82;7550264,03
"..Novembro/2022";16582,58;2676637,71;4008202,72;6701423,01
"..Dezembro/2022";9639,42;2984503,79;3591524,20;6585667,41
"Total";414046,44;134470199,74;164912792,70;299797038,88
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
