  Dados detalhados das AIH - por local internação - São Paulo
Quantidade aprovada por Procedimento e Ano/mês processamento
Município: 355410 TAUBATE
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0201020041 COLETA DE MATERIAL PARA EXAME LABORATORIAL";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010023 DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO";-;-;-;1;2;1;-;1;2;1;7;1;1;8;8;5;11;3;1;3;-;-;2;1;1;-;-;1;61
"0202010120 DOSAGEM DE ACIDO URICO";-;1;-;-;3;3;2;-;5;1;3;5;4;15;369;133;277;12;2;-;-;122;253;18;-;-;1;-;1229
"0202010147 DOSAGEM DE ALDOLASE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"0202010155 DOSAGEM DE ALFA-1-ANTITRIPSINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"0202010180 DOSAGEM DE AMILASE";-;6;4;9;22;10;10;3;15;16;14;13;22;32;51;38;60;8;11;1;2;16;25;3;-;-;1;-;392
"0202010198 DOSAGEM DE AMONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"0202010201 DOSAGEM DE BILIRRUBINA TOTAL E FRACOES";5;31;50;77;95;61;95;20;84;117;125;182;263;287;417;242;289;80;26;26;5;48;57;20;4;3;19;3;2731
"0202010210 DOSAGEM DE CALCIO";-;-;3;18;33;7;58;9;6;4;7;14;11;6;362;210;93;29;20;2;-;58;90;7;-;-;1;5;1053
"0202010228 DOSAGEM DE CALCIO IONIZAVEL";4;29;103;217;299;199;440;80;155;215;322;227;596;557;604;449;346;270;175;64;33;58;98;53;36;1;74;37;5741
"0202010252 DOSAGEM DE CERULOPLASMINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"0202010260 DOSAGEM DE CLORETO";-;2;-;-;-;1;14;3;-;-;-;2;4;7;73;8;19;4;16;-;-;32;39;1;-;-;-;-;225
"0202010279 DOSAGEM DE COLESTEROL HDL";-;2;3;2;2;2;2;-;1;-;4;1;4;6;5;6;5;2;2;-;-;-;5;3;1;-;-;-;58
"0202010287 DOSAGEM DE COLESTEROL LDL";-;1;1;1;2;2;1;-;1;-;3;1;1;4;3;4;5;2;1;-;-;-;5;2;1;-;-;-;41
