  Dados detalhados das AIH - por local internação - São Paulo
Valor aprovado por Procedimento e Ano/mês processamento
Município: 355410 TAUBATE
Procedimento Principal: 0211030058 AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS, 0214010163 TESTE RÁPIDO PARA DETECÇÃO DE SARS-COVID-2, 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO, 0304010383 RADIOTERAPIA DE TRAQUEIA, BRÔNQUIO, PULMÃO, PLEURA E MEDIASTINO
Grupo Procedimento Principal: 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos, 06 Medicamentos
Subgrupo Proced.Principal: 0101 Ações coletivas/individuais em saúde, 0201 Coleta de material, 0303 Tratamentos clínicos (outras especialidades), 0601 Medicamentos de dispensação excepcional, 0602 Medicamentos estratégicos, 0603 Medicamentos de âmbito hospitalar e urgência, 0801 Ações relacionadas ao estabelecimento, 0802 Ações relacionadas ao atendimento, 0803 Autorização / Regulação
Forma organização Principal: 020807 Aparelho respiratório, 020904 Aparelho respiratório, 021107 Diagnóstico em otorrinolaringologia/fonoaudiologia, 021108 Diagnóstico em pneumologia, 030101 Consultas médicas/outros profissionais  de nivel superior, 030103 Atendimento pré-hospitalar de urgência, 030104 Outros atendimentos realizados por profissionais de níveis superior, 030106 Consulta/Atendimento ás urgências (em geral), 030110 Atendimentos de enfermagem (em geral), 030301 Tratamento de doenças infecciosas e parasitárias, 030906 Acessos venosos, 041201 Traqueia e brônquios, 041205 Pulmão, 041613 Otorrinolaringologia
Período:2019-2022
"Procedimento";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"Total"
"0202020568 DOSAGEM DE PROTEINA S FUNCIONAL";-;-;-;-;-;-;-;-;-;-;-;125,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125,00
"0202030237 IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;80,00;-;-;-;-;80,00;-;-;-;-;-;-;-;-;80,00;80,00;-;-;-;-;320,00
"0202100022 DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;160,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160,00
"0202100030 DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)";-;-;-;-;-;-;-;-;-;-;-;-;-;160,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160,00
"0203010035 EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL E DE MAMA)";-;-;-;-;-;-;-;-;-;-;-;41,92;-;-;-;20,96;-;-;-;20,96;-;-;-;-;-;-;-;-;83,84
"0203020030 EXAME ANATOMO-PATOLOGICO PARA CONGELAMENTO / PARAFINA POR PECA CIRURGICA OU POR BIOPSIA (EXCETO COL";-;-;-;-;-;-;72,00;96,00;-;-;-;163,12;326,24;244,68;326,24;122,34;122,34;448,58;-;-;122,34;-;-;122,34;-;-;-;163,12;2329,34
"0203020049 IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)";-;-;-;-;-;-;-;-;-;-;-;-;131,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131,52
"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";-;-;119,82;359,46;279,58;119,82;1078,38;79,88;239,64;399,40;519,22;559,16;399,40;599,10;319,52;159,76;319,52;319,52;-;39,94;-;39,94;479,28;79,88;39,94;-;79,88;39,94;6669,98
"0205010040 ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS";-;-;-;-;79,20;118,80;-;39,60;118,80;-;39,60;79,20;316,80;198,00;237,60;396,00;39,60;198,00;79,20;-;-;-;79,20;-;-;-;39,60;39,60;2098,80
"0205020011 ECODOPPLER TRANSCRANIANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117,00;-;-;-;-;-;117,00
"0205020038 ULTRASSONOGRAFIA DE ABDOMEN SUPERIOR";-;-;-;24,20;-;-;-;-;-;-;-;-;-;-;-;48,40;-;-;-;-;-;24,20;-;-;-;-;-;-;96,80
"0205020046 ULTRASSONOGRAFIA DE ABDOMEN TOTAL";-;-;-;-;37,95;37,95;75,90;-;37,95;-;-;113,85;75,90;37,95;151,80;37,95;37,95;37,95;-;37,95;37,95;-;75,90;37,95;-;-;-;-;872,85
"0205020054 ULTRASSONOGRAFIA DE APARELHO URINARIO";-;-;-;-;24,20;24,20;24,20;-;-;-;24,20;24,20;96,80;121,00;24,20;96,80;-;48,40;-;24,20;-;-;-;-;-;-;24,20;-;556,60
"0205020062 ULTRASSONOGRAFIA DE ARTICULACAO";-;-;-;-;-;-;24,20;-;-;-;24,20;-;48,40;-;-;-;24,20;-;-;-;-;24,20;24,20;24,20;-;-;-;-;193,60
"0205020070 ULTRASSONOGRAFIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20
"0205020100 ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL";-;-;-;-;-;-;-;-;-;-;72,60;24,20;72,60;72,60;-;-;-;24,20;-;-;-;-;-;-;-;-;-;-;266,20
"0205020135 ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA)";-;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20
"0205020151 ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO";-;-;-;-;-;-;-;-;-;-;-;-;39,60;158,40;-;39,60;-;-;-;39,60;-;-;39,60;-;-;-;-;-;316,80
"0205020186 ULTRASSONOGRAFIA TRANSVAGINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20;-;-;-;-;-;-;-;-;-;-;-;-;-;24,20
"0206010010 TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;173,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173,52
"0206010028 TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;202,20;-;-;-;-;-;-;-;-;-;-;-;101,10;-;-;-;-;303,30
"0206010036 TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE";-;-;-;-;-;-;-;-;-;-;-;173,52;-;-;-;-;-;-;-;-;-;-;-;86,76;-;-;-;-;260,28
"0206010044 TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES";-;-;-;86,75;-;-;-;-;173,50;-;-;-;-;-;-;-;86,75;-;-;-;-;-;-;-;-;-;-;-;347,00
"0206010052 TOMOGRAFIA COMPUTADORIZADA DO PESCOCO";-;-;-;-;-;-;-;-;-;-;86,75;86,75;-;86,75;-;-;86,75;-;-;-;-;-;-;-;-;-;-;-;347,00
"0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO";-;-;-;487,20;389,76;292,32;97,44;-;97,44;-;389,76;292,32;1169,28;974,40;1559,04;876,96;1364,16;1753,92;389,76;97,44;-;389,76;1364,16;389,76;-;-;194,88;-;12569,76
"0206020023 TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRACO, MAO, COXA, PERNA, PE)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86,75;-;-;-;-;86,75
"0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX";-;272,82;1227,69;2455,38;1364,10;1500,51;1500,51;272,82;1227,69;1227,69;1773,33;2591,79;4910,76;4092,30;17733,30;8048,19;20325,09;4501,53;3137,43;954,87;409,23;4637,94;6820,50;818,46;272,82;136,41;545,64;136,41;92895,21
"0206030010 TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR";-;-;-;-;138,63;415,89;277,26;-;138,63;-;138,63;415,89;831,78;138,63;277,26;693,15;554,52;415,89;415,89;277,26;-;138,63;138,63;138,63;-;-;138,63;277,26;5961,09
"0206030029 TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR";-;-;-;-;-;86,75;-;-;-;-;86,75;-;-;-;-;-;-;-;86,75;-;-;-;-;-;173,50;-;-;-;433,75
"0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR";-;-;-;-;277,26;415,89;277,26;-;138,63;-;138,63;415,89;831,78;138,63;138,63;693,15;277,26;277,26;415,89;277,26;-;277,26;277,26;138,63;-;-;138,63;277,26;5822,46
"0207010064 RESSONANCIA MAGNETICA DE CRANIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;268,75;-;-;-;-;-;-;-;-;-;-;-;268,75
"0209010029 COLONOSCOPIA (COLOSCOPIA)";-;-;-;-;-;-;-;-;112,66;-;-;112,66;-;112,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;337,98
