 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"Total"
"2018";124982,93;6515,30;9017,57;142671,71;-;183859,44;45803,86;3180,78;-;2780,43;30912,86;224936,69;12670,85;492708,09;-;430,25;-;101821,16;-;1382291,92
"..Junho/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;91762,12;-;-;-;-;-;91762,12
"..Agosto/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;75202,30;-;-;-;-;-;75202,30
"..Setembro/2018";42128,86;-;-;24744,82;-;-;-;-;-;-;-;-;-;55013,85;-;-;-;-;-;121887,53
"..Outubro/2018";32130,62;-;-;7468,89;-;-;-;-;-;-;-;-;3483,50;-;-;-;-;1127,68;-;44210,69
"..Novembro/2018";24162,57;-;-;52637,78;-;-;283,08;-;-;1392,49;30912,86;168061,86;-;36923,37;-;-;-;27306,76;-;341680,77
"..Dezembro/2018";26560,88;6515,30;9017,57;57820,22;-;183859,44;45520,78;3180,78;-;1387,94;-;56874,83;9187,35;233806,45;-;430,25;-;73386,72;-;707548,51
"2019";723240,99;178544,19;147064,59;1081634,16;2465,10;1523460,45;787777,36;108855,41;32519,81;205838,46;82574,88;2621245,81;464605,90;2473489,33;125541,54;15979,45;27321,90;1502766,80;81884,43;12186810,56
"..Janeiro/2019";13823,44;16762,02;4212,01;131061,17;-;113140,57;54221,55;4684,09;24528,40;17412,57;1734,21;201814,61;36683,74;307612,67;195,00;4478,68;2497,34;117704,48;10806,43;1063372,98
"..Fevereiro/2019";29646,17;10892,30;8969,16;114911,23;229,90;146251,60;62247,16;4936,02;636,56;32837,05;4583,98;78022,09;20348,92;118731,73;-;1643,94;684,71;129162,49;26438,16;791173,17
"..Março/2019";36409,65;22639,18;4454,24;68324,77;-;115169,36;81185,87;14240,51;190,70;14680,20;-;245663,84;34124,03;178337,05;-;528,15;-;89750,92;9097,08;914795,55
"..Abril/2019";26252,48;9771,49;2565,16;83171,63;293,90;95588,96;76696,13;6755,54;2493,12;12096,01;2864,33;190989,75;29179,15;100494,97;199,00;808,23;1291,22;114332,26;-;755843,33
"..Maio/2019";55866,60;13941,97;14479,87;100094,70;377,71;117547,87;67915,79;11976,56;1545,57;31483,20;4707,15;352070,84;35344,70;306614,06;23441,59;801,28;161,54;148173,04;6064,72;1292608,76
"..Junho/2019";84253,47;13988,98;4876,27;31612,96;229,90;193024,10;66766,87;5837,36;190,70;16483,71;1643,66;360789,60;52575,52;192574,34;12195,44;-;1176,66;109618,48;9097,08;1156935,10
