 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento e Forma organização
Município: 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"Total"
"2018";8;6;3;29;-;11;9;2;-;6;1;15;6;17;-;1;-;14;-;128
"..Junho/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"..Agosto/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"..Setembro/2018";1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"..Outubro/2018";1;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;5
"..Novembro/2018";2;-;-;5;-;-;1;-;-;2;1;3;-;2;-;-;-;4;-;20
"..Dezembro/2018";4;6;3;21;-;11;8;2;-;4;-;12;5;12;-;1;-;9;-;98
"2019";175;176;72;629;9;621;903;136;33;676;21;695;352;243;131;14;27;430;57;5400
"..Janeiro/2019";8;13;6;57;-;51;84;12;7;63;2;44;24;27;1;2;5;33;8;447
"..Fevereiro/2019";6;17;9;52;1;55;68;12;2;53;3;31;26;17;-;2;1;33;19;407
"..Março/2019";10;21;4;55;-;42;72;8;1;39;-;34;24;24;-;1;-;40;6;381
"..Abril/2019";9;18;2;61;1;43;79;7;7;51;2;45;19;23;1;1;2;23;-;394
"..Maio/2019";22;21;9;50;1;49;81;16;5;86;1;76;29;29;24;1;1;49;4;554
"..Junho/2019";16;12;7;31;1;68;78;10;1;58;2;77;23;17;13;-;5;37;6;462
"..Julho/2019";20;12;2;48;1;52;82;6;1;62;2;68;25;16;16;1;3;27;3;447
"..Agosto/2019";16;13;5;52;1;55;81;14;3;46;1;70;29;16;22;2;1;37;2;466
"..Setembro/2019";22;7;11;47;1;51;73;11;-;62;3;69;51;23;14;1;2;35;3;486
"..Outubro/2019";15;11;5;73;2;54;75;10;1;55;2;57;31;14;16;1;2;46;3;473
"..Novembro/2019";14;15;7;55;-;54;77;9;5;49;1;71;45;17;12;1;1;31;3;467
"..Dezembro/2019";17;16;5;48;-;47;53;21;-;52;2;53;26;20;12;1;4;39;-;416
"2020";785;112;92;677;8;578;673;100;22;567;15;1236;408;329;39;7;28;286;4;5966
"..Janeiro/2020";27;8;6;56;-;48;60;14;3;65;-;59;30;25;16;2;4;28;1;452
"..Fevereiro/2020";38;10;4;45;-;52;55;10;4;62;2;45;27;30;11;-;1;30;2;428
"..Março/2020";34;6;5;62;1;45;46;11;1;61;4;57;29;30;10;-;1;31;-;434
"..Abril/2020";57;5;3;61;-;29;35;6;1;33;-;66;40;30;-;-;2;26;-;394
"..Maio/2020";53;10;7;59;-;37;60;4;-;43;3;57;42;33;1;1;2;27;-;439
"..Junho/2020";83;6;9;55;1;53;54;8;5;30;-;85;34;25;-;-;1;31;-;480
"..Julho/2020";122;11;10;58;3;49;46;9;1;44;1;158;42;23;-;-;3;34;-;614
"..Agosto/2020";88;9;9;72;-;61;59;12;1;45;1;159;32;22;-;-;-;23;-;593
