"Ano/mes processamento", "Valor_total", "Valor_servicos_hospitalares", "Valor_servicos_profissionais"
"2019", 129985.91, 112430.12, 17555.79
"Janeiro/2019", 11235.00, 9378.41, 1856.59
"Fevereiro/2019", 11120.76, 9425.24, 1695.52
"Marco/2019", 13191.26, 11071.24, 2120.02
"Abril/2019", 10788.73, 9384.79, 1403.94
"Maio/2019", 14242.42, 12502.65, 1739.77
"Junho/2019", 8263.99, 7332.19, 931.80
"Julho/2019", 11244.25, 9750.61, 1493.64
"Agosto/2019", 9360.98, 8173.19, 1187.79
"Setembro/2019", 8816.71, 7594.25, 1222.46
"Outubro/2019", 11961.95, 10695.48, 1266.47
"Novembro/2019", 7237.02, 6098.28, 1138.74
"Dezembro/2019", 12522.84, 11023.79, 1499.05
"2020", 179032.37, 157088.46, 21943.91
"Janeiro/2020", 13023.73, 11471.69, 1552.04
"Fevereiro/2020", 10089.66, 8793.92, 1295.74
"Marco/2020", 10266.26, 8874.36, 1391.90
"Abril/2020", 5610.28, 4929.90, 680.38
"Maio/2020", 13762.70, 12135.73, 1626.97
"Junho/2020", 7557.75, 6468.65, 1089.10
"Julho/2020", 10612.16, 9337.64, 1274.52
"Agosto/2020", 21981.07, 19316.07, 2665.00
"Setembro/2020", 24048.94, 20968.00, 3080.94
"Outubro/2020", 25449.09, 22199.78, 3249.31
"Novembro/2020", 20380.92, 18137.71, 2243.21
"Dezembro/2020", 16249.81, 14455.01, 1794.80
"2021", 214692.31, 188770.88, 25921.43
"Janeiro/2021", 19480.41, 17308.04, 2172.37
"Fevereiro/2021", 15604.67, 14066.87, 1537.80
"Marco/2021", 14222.61, 12427.44, 1795.17
"Abril/2021", 18164.56, 16294.67, 1869.89
"Maio/2021", 19651.40, 17643.55, 2007.85
"Junho/2021", 17908.84, 15801.43, 2107.41
"Julho/2021", 13505.57, 11931.68, 1573.89
"Agosto/2021", 15197.12, 13593.80, 1603.32
"Setembro/2021", 20959.98, 18599.23, 2360.75
"Outubro/2021", 19736.94, 16693.39, 3043.55
"Novembro/2021", 23284.94, 19952.49, 3332.45
"Dezembro/2021", 16975.27, 14458.29, 2516.98
"2022", 318784.03, 289236.96, 29547.07
"Janeiro/2022", 12600.42, 10779.44, 1820.98
"Fevereiro/2022", 21401.03, 18695.11, 2705.92
"Marco/2022", 18559.10, 16342.55, 2216.55
"Abril/2022", 16572.64, 14427.97, 2144.67
"Maio/2022", 21695.54, 18479.63, 3215.91
"Junho/2022", 18804.95, 15410.02, 3394.93
"Julho/2022", 13796.13, 12231.65, 1564.48
"Agosto/2022", 34373.87, 31950.30, 2423.57
"Setembro/2022", 38144.84, 35654.61, 2490.23
"Outubro/2022", 34909.87, 32560.48, 2349.39
"Novembro/2022", 36238.73, 34021.90, 2216.83
"Dezembro/2022", 51686.91, 48683.30, 3003.61
"Total", 842494.62, 747526.42, 94968.20
