"Ano/mês atendimento", "Consultas médicas/outros profissionaisde nivel superior", "Consulta/Atendimento ás urgências (em geral)", "Total"
"2019", 173575.96, 1562.93, 175138.89
"Janeiro", 0, 0, 0
"Fevereiro", 0, 0, 0
"Março", 7.43, -, 7.43
"Abril", 154.25, -, 154.25
"Maio", 7700.99, 121.88, 7822.87
"Junho", 23609.46, 161.25, 23770.71
"Julho", 25056.88, 216.20, 25273.08
"Agosto", 23809.97, 166.55, 23976.52
"Setembro", 24590.97, 207.31, 24798.28
"Outubro", 23837.32, 199.53, 24036.85
"Novembro", 22609.37, 168.66, 22778.03
"Dezembro", 22199.32, 321.55, 22520.87
"2020", 303877.71, 2084.90, 305962.61
"Janeiro", 23103.80, 220.77, 23324.57
"Fevereiro", 24288.13, 163.98, 24452.11
"Março", 24864.68, 230.56, 25095.24
"Abril", 20792.38, 168.66, 20961.04
"Maio", 23177.56, 128.76, 23306.32
"Junho", 23110.02, 157.27, 23267.29
"Julho", 28463.07, 82.50, 28545.57
"Agosto", 27249.95, 250.17, 27500.12
"Setembro", 28216.20, 47.27, 28263.47
"Outubro", 27871.31, 124.98, 27996.29
"Novembro", 24567.09, 390.22, 24957.31
"Dezembro", 28173.52, 119.76, 28293.28
"2021", 327110.01, 2522.34, 329632.35
"Janeiro", 27744.98, 128.76, 27873.74
"Fevereiro", 24739.39, 233.64, 24973.03
"Março", 28874.58, 279.95, 29154.53
"Abril", 29353.57, 158.32, 29511.89
"Maio", 32001.87, 81.49, 32083.36
"Junho", 28509.03, 293.08, 28802.11
"Julho", 28225.51, 40.38, 28265.89
"Agosto", 28064.26, 123.62, 28187.88
"Setembro", 23915.89, 291.74, 24207.63
"Outubro", 25142.63, 254.26, 25396.89
"Novembro", 24908.46, 233.03, 25141.49
"Dezembro", 25629.84, 404.07, 26033.91
"2022", 324975.94, 4506.79, 329482.73
"Janeiro", 36048.45, 352.93, 36401.38
"Fevereiro", 30960.32, 269.93, 31230.25
"Março", 27846.03, 215.47, 28061.50
"Abril", 25027.92, 316.43, 25344.35
"Maio", 30950.65, 397.85, 31348.50
"Junho", 27130.73, 552.20, 27682.93
"Julho", 26900.48, 442.41, 27342.89
"Agosto", 28215.13, 589.28, 28804.41
"Setembro", 26568.25, 555.32, 27123.57
"Outubro", 25065.95, 244.47, 25310.42
"Novembro", 24127.07, 357.62, 24484.69
"Dezembro", 16134.96, 212.88, 16347.84
"Total", 1129539.62, 10676.96, 1140216.58
