"Ano/mês atendimento", "Consultas médicas/outros profissionaisde nivel superior", "Consulta/Atendimento ás urgências (em geral)", "Total"
"2019", 120715.37, 23462.88, 144178.25
"Janeiro", 0, 0, 0
"Fevereiro", 121.60, 0, 121.60
"Março", 660.91, 0, 660.91
"Abril", 1699.25, 80.76, 1780.01
"Maio", 6990.47, 392.44, 7382.91
"Junho", 14914.28, 3316.80, 18231.08
"Julho", 15881.16, 3127.82, 19008.98
"Agosto", 16534.72, 2999.39, 19534.11
"Setembro", 17631.63, 3316.88, 20948.51
"Outubro", 15361.49, 4103.85, 19465.34
"Novembro", 16502.85, 3564.64, 20067.49
"Dezembro", 14417.01, 2560.30, 16977.31
"2020", 192481.05, 26257.21, 218738.26
"Janeiro", 15353.57, 3315.78, 18669.35
"Fevereiro", 14810.52, 3195.42, 18005.94
"Março", 15425.53, 2446.97, 17872.50
"Abril", 14835.41, 1567.66, 16403.07
"Maio", 14704.48, 1921.82, 16626.30
"Junho", 15180.75, 1353.87, 16534.62
"Julho", 15553.47, 2425.37, 17978.84
"Agosto", 16895.29, 2037.89, 18933.18
"Setembro", 14572.72, 1709.48, 16282.20
"Outubro", 20748.76, 2254.92, 23003.68
"Novembro", 16738.34, 2270.68, 19009.02
"Dezembro", 17662.21, 1757.35, 19419.56
"2021", 256576.57, 23570.47, 280147.04
"Janeiro", 20005.91, 1764.73, 21770.64
"Fevereiro", 16790.24, 1805.69, 18595.93
"Março", 25451.29, 2088.10, 27539.39
"Abril", 25931.76, 1182.62, 27114.38
"Maio", 26678.49, 1438.64, 28117.13
"Junho", 26070.99, 2302.52, 28373.51
"Julho", 23576.39, 1710.41, 25286.80
"Agosto", 21414.77, 2312.37, 23727.14
"Setembro", 16298.56, 2030.01, 18328.57
"Outubro", 17580.43, 2188.16, 19768.59
"Novembro", 19425.29, 2475.50, 21900.79
"Dezembro", 17352.45, 2271.72, 19624.17
"2022", 256699.64, 36060.34, 292759.98
"Janeiro", 22186.85, 2676.92, 24863.77
"Fevereiro", 19421.62, 1697.30, 21118.92
"Março", 24422.55, 2927.23, 27349.78
"Abril", 20234.70, 2596.75, 22831.45
"Maio", 20408.90, 3422.36, 23831.26
"Junho", 20762.53, 3093.43, 23855.96
"Julho", 21472.38, 3389.17, 24861.55
"Agosto", 27579.52, 3533.53, 31113.05
"Setembro", 28514.15, 3828.95, 32343.10
"Outubro", 23332.44, 2854.43, 26186.87
"Novembro", 18663.38, 2593.97, 21257.35
"Dezembro", 9700.62, 3446.30, 13146.92
"Total", 826472.63, 109350.90, 935823.53
