"Ano/mês atendimento", "Consultas médicas/outros profissionaisde nivel superior", "Consulta/Atendimento ás urgências (em geral)", "Atendimentos de enfermagem (em geral)", "Total"
"2019", 198972, 524, 132400, 331896
"Janeiro", 222, -, -, 222
"Fevereiro", 136, -, 312, 448
"Março", 4304, -, 4330, 8634
"Abril", 5875, 1, 6224, 12100
"Maio", 13888, 1, 19467, 33356
"Junho", 24287, 69, 24755, 49111
"Julho", 26628, 86, 20966, 47680
"Agosto", 26949, 77, 13081, 40107
"Setembro", 23836, 67, 12171, 36074
"Outubro", 24657, 84, 11114, 35855
"Novembro", 24000, 52, 9371, 33423
"Dezembro", 24190, 87, 10609, 34886
"2020", 297394, 1201, 70226, 368821
"Janeiro", 25406, 103, 7229, 32738
"Fevereiro", 23972, 91, 8874, 32937
"Março", 21378, 83, 6673, 28134
"Abril", 18458, 50, 4936, 23444
"Maio", 22827, 85, 4817, 27729
"Junho", 23471, 57, 5681, 29209
"Julho", 26059, 103, 5353, 31515
"Agosto", 28543, 105, 6468, 35116
"Setembro", 25890, 150, 3708, 29748
"Outubro", 25197, 132, 4986, 30315
"Novembro", 28380, 141, 4584, 33105
"Dezembro", 27813, 101, 6917, 34831
"2021", 366346, 1115, 108991, 476452
"Janeiro", 29896, 99, 7056, 37051
"Fevereiro", 25626, 84, 5830, 31540
"Março", 33083, 72, 9627, 42782
"Abril", 30265, 90, 10021, 40376
"Maio", 34007, 102, 13846, 47955
"Junho", 29590, 103, 13890, 43583
"Julho", 29187, 64, 10406, 39657
"Agosto", 30946, 95, 9879, 40920
"Setembro", 27588, 105, 8267, 35960
"Outubro", 28453, 89, 7169, 35711
"Novembro", 31431, 116, 5672, 37219
"Dezembro", 36274, 96, 7328, 43698
"2022", 461062, 1406, 85090, 547558
"Janeiro", 39405, 71, 8130, 47606
"Fevereiro", 34275, 106, 5694, 40075
"Março", 36986, 96, 5296, 42378
"Abril", 36664, 76, 6607, 43347
"Maio", 42875, 118, 8984, 51977
"Junho", 43185, 99, 8320, 51604
"Julho", 44731, 88, 7545, 52364
"Agosto", 43040, 140, 7891, 51071
"Setembro", 43620, 146, 8716, 52482
"Outubro", 37243, 151, 6474, 43868
"Novembro", 35703, 147, 6793, 42643
"Dezembro", 23335, 168, 4640, 28143
"Total", 1323774, 4246, 396707, 1724727
