"Ano/mês processamento", "Anemias", "Afecções Hemorragicas", "Diabetes Mellitus", "Transtornos Nutricionais", "Meningites", "Parkinson - Alzheimer - Eplepsia", "Doenças do sistema nervoso", "Infarto do Miocárdio", "Infarto Cerebral", "Insuf. Cardíaca", "Pneumonia", "Bronquites", "Asma"

"2019", 107540.74, 190818.93, 132955.41, 151497.94, 80093.06, 304221.65, 914714, 2573774.27, 424821.28, 1053649.52, 2112660.13, 449694.38, 162118.98
"Janeiro", 6533.31, 51082.93, 9206.52, 14087.39, 2641.15, 33256.55, 138887, 213902.56, 61942.20, 71457.80, 203924.19, 32894.37, 10083.31
"Fevereiro", 4120.63, 9047.97, 9790.46, 5292.62, 6179.88, 11637.08, 49510.22, 211727.89, 12450.21, 74981.96, 141846.63, 36807.44, 3865.33
"Março", 8296.70, 4255.04, 4122.19, 4483.04, 10353.30, 34771.53, 145189.09, 243993.59, 46628.90, 50838.97, 169756.41, 24306.65, 5190.31
"Abril", 6100.10, 16926.04, 7558.32, 5669.65, 10202.76, 29192.04, 39933.19, 245932.89, 19289.51, 66330.73, 197806.88, 35974.17, 28030.02
"Maio", 7274.21, 3537.05, 13731.19, 14051.36, 17596.36, 12705.65, 60604.57, 249421.65, 33793.86, 67735.39, 166059.94, 49100.57, 26922.80
"Junho", 8536.82, 3037.30, 15779.27, 10445.94, 7748.08, 16012.00, 65748.34, 232825.18, 27667.47, 83432.76, 231557.19, 73182.84, 10721.74
"Julho", 7084.14, 6096.06, 12272.24, 6178.95, 3757.04, 45500.41, 36288.34, 205903.77, 38849.38, 124957.11, 166168.86, 61984.61, 14015.59
"Agosto", 11167.15, 14001.35, 12077.48, 27355.60, 793.69, 5640.42, 94590.53, 198892.04, 16894.41, 105840.55, 186975.83, 29503.13, 23172.88
"Setembro", 12518.33, 4945.25, 9017.65, 7289.20, 4562.56, 26821.32, 73739.75, 202988.57, 50321.54, 78605.35, 194909.64, 35029.47, 10543.14
"Outubro", 11886.89, 11945.01, 15607.92, 13293.86, 5832.84, 37446.25, 76637.90, 206619.32, 40513.67, 148375.60, 179129.41, 24521.39, 9153.97
"Novembro", 6908.74, 45246.57, 12761.32, 22861.75, 6854.14, 27325.73, 61055.59, 146800.06, 37395.45, 99712.98, 147989.80, 21710.56, 8905.63
"Dezembro", 17113.72, 20698.36, 11030.85, 20488.58, 3571.26, 23912.67, 72529.25, 214766.75, 39074.68, 81380.32, 126535.35, 24679.18, 11514.26

"2020", 126289.24, 103337.45, 140452.92, 112460.29, 31116.92, 355146.78, 681397.52, 2988283.65, 329384.20, 927427.06, 1054587.41, 139752.96, 141119.87
"Janeiro", 21756.63, 4893.93, 6823.37, 3445.43, 1894.84, 40122.79, 63178.48, 279922.59, 55853.60, 85207.71, 126042.01, 21439.01, 2120.11
"Fevereiro", 6638.06, 11299.12, 12039.03, 15102.70, 3262.50, 35904.02, 71271.00, 314753.14, 67585.66, 71983.73, 95211.54, 12036.77, 13906.92
"Março", 13906.94, 10661.60, 17606.13, 3816.34, 6428.75, 22816.45, 92618.99, 292867.60, 38733.91, 84395.50, 112455.87, 19327.29, 15327.77
"Abril", 7839.59, 20120.29, 23172.03, 2360.87, 3192.17, 26057.04, 29520.59, 260091.31, 6564.22, 80638.19, 96643.20, 16061.49, 3567.89
"Maio", 8548.59, 10028.88, 12488.92, 4067.68, 0.00, 6643.28, 69733, 216875.18, 40891.86, 92304.92, 102178.56, 8229.69, 1419.12
"Junho", 8000.25, 3822.34, 14112.35, 19227.00, 989.57, 29838.90, 20025, 252785.81, 15310.83, 62161.63, 84995.05, 14658.46, 11943.93
"Julho", 7429.41, 1878.74, 10364.30, 20804.72, 9301.12, 19096.05, 48331.87, 258818.68, 23411.30, 44186.10, 114136.63, 5341.97, 26567.61
"Agosto", 13310.64, 3229.45, 10424.17, 20438.30, 0.00, 68303.48, 36097.49, 286970.41, 15321.46, 77157.87, 60276.30, 15149.34, 21291.80
"Setembro", 13984.92, 13151.02, 8747.03, 4651.04, 793.69, 14194.46, 82905.41, 195595.68, 14251.37, 104313.41, 57758.13, 6446.70, 6625.16
"Outubro", 3498.80, 7178.25, 7865.40, 1552.78, 2405.07, 13846.15, 43721.03, 222607.17, 21823.87, 47158.49, 95122.65, 10762.17, 15269.86
"Novembro", 7495.64, 2532.36, 10493.68, 12628.47, 1181.83, 43781.72, 64332.58, 208022.36, 11854.17, 114616.85, 64945.56, 8090.37, 8149.49
"Dezembro", 13879.77, 14541.47, 6316.51, 4364.96, 1667.38, 34542.44, 59662.32, 198973.72, 17781.95, 63302.66, 44821.91, 2209.70, 14930.21

"2021", 164927.39, 159201.58, 237403.91, 185601.26, 35586.16, 479072.30, 657037.47, 2789128.70, 140753.45, 877242.14, 1275192.39, 463060.14, 168510.69
"Janeiro", 8801.71, 21359.19, 23421.81, 18136.53, 2234.41, 64721.96, 55689.36, 223862.55, 11964.15, 84892.75, 87918.17, 32849.22, 3374.76
"Fevereiro", 7333.55, 8129.16, 35542.11, 13783.87, 794.69, 43999.52, 26582.11, 264032.72, 10924.76, 26723.24, 94651.25, 17866.30, 453.48
"Março", 7092.97, 5709.90, 16334.75, 15851.88, 2218.68, 55259.74, 45044.60, 223679.75, 6883.71, 44506.88, 80703.25, 22445.76, 3124.22
"Abril", 21760.40, 15865.30, 10720.94, 5184.62, 0.00, 16136.19, 116818.34, 202202.27, 7404.31, 68687.53, 95614.85, 30225.56, 2428.30
"Maio", 12928.32, 8773.88, 8510.56, 8316.99, 6058.88, 24837.42, 64737.51, 174789.35, 11381.70, 51670.02, 122926.79, 30986.77, 11372.23
"Junho", 7670.22, 8686.78, 12250.45, 9720.17, 841.69, 40878.21, 40108.64, 179418.05, 14449.75, 39669.18, 137731.25, 13226.56, 11801.96
"Julho", 14074.78, 16574.52, 25790.94, 13389.15, 6335.21, 29257.58, 64392.35, 306730.47, 17107.14, 69889.00, 113440.23, 23528.54, 19044.43
"Agosto", 12947.42, 13646.65, 15450.68, 26512.65, 7542.54, 87451.24, 39036.37, 230783.22, 15414.76, 89350.36, 89439.54, 56866.13, 40650.97
"Setembro", 19897.82, 11419.53, 26790.70, 8589.73, 1040.53, 33809.24, 79863.06, 251849.64, 25647.63, 122026.98, 137109.45, 66330.18, 15539.83
"Outubro", 16337.99, 15269.60, 10454.16, 23602.38, 3939.09, 26334.24, 57354, 189394.54, 12222.51, 105661.04, 111745.25, 64232.66, 25472.03
"Novembro", 15834.98, 19245.11, 41878.02, 31976.00, 4580.44, 18944.89, 55293, 262069.50, 6856.76, 87531.85, 110895.29, 55381.59, 18987.80
"Dezembro", 20247.23, 14521.96, 10258.79, 10537.29, 0.00, 37442.07, 12118.20, 280316.64, 496.27, 86633.31, 93017.07, 49120.87, 16260.68

"2022", 185610.50, 123317.24, 220429.16, 191441.73, 96473.43, 544568.86, 1135421.91, 2978869.15, 156558.28, 1519943.51, 2145456.49, 879813.18, 307921.93
"Janeiro", 25100.38, 8384.78, 36042.15, 18987.96, 2139.55, 33221.41, 85958.06, 225286.43, 7009.79, 91718.68, 220513.83, 124611.50, 8898.47
"Fevereiro", 29043.14, 3832.91, 22683.27, 5843.48, 2346.22, 23070.28, 63009.49, 320858.95, 11384.32, 52427.01, 169924.34, 32250.01, 7503.64
"Março", 6866.76, 31266.03, 8358.34, 13979.70, 1763.96, 76328.70, 60467.08, 275062.62, 14695.23, 78688.90, 201525.69, 56305.87, 24657.64
"Abril", 15184.59, 5496.59, 15129.28, 14461.56, 32775.36, 28643.41, 61194.21, 242269.52, 3377.99, 74973.06, 148703.06, 51592.04, 16117.32
"Maio", 15203.59, 12426.21, 35757.02, 14769.35, 13523.90, 77736.81, 79172.25, 263560.32, 10447.73, 128912.20, 174637.61, 107011.55, 29720.45
"Junho", 9899.34, 2082.41, 16570.47, 8419.41, 8325.46, 30367.16, 40475.74, 222308.69, 19067.54, 75428.86, 184107.87, 86045.06, 33902.70
"Julho", 23284.62, 4933.57, 9817.71, 11599.05, 0.00, 45281.29, 144314.78, 299985.22, 8107.16, 177431.86, 191960.79, 122651.43, 23138.77
"Agosto", 11183.97, 14502.50, 16658.25, 9668.94, 3395.68, 51334.45, 116344.59, 235542.98, 5731.09, 117988.01, 154621.76, 51950.18, 42567.55
"Setembro", 13717.37, 10728.31, 7893.70, 23345.50, 12304.62, 87747.54, 82096.49, 276589.80, 8776.32, 166651.83, 178090.85, 20247.10, 38632.85
"Outubro", 10084.90, 9790.44, 14784.75, 45312.76, 5784.44, 44530.27, 134374.07, 204083.96, 41585.10, 139056.27, 162754.08, 80667.35, 31026.74
"Novembro", 8389.58, 10793.86, 11352.41, 16017.71, 9178.97, 28859.96, 134196.91, 181860.31, 23307.92, 228096.25, 157160.61, 50746.64, 32237.99
"Dezembro", 17652.26, 9079.63, 25381.81, 9036.31, 4935.27, 17447.58, 133818.24, 231460.35, 3068.09, 188570.58, 201456.00, 95734.45, 19517.81
