"Ano/mês processamento", "Anemias", "Afecções Hemorragicas", "Diabetes Mellitus", "Transtornos Nutricionais", "Meningites", "Doenças Neurológicas", "Doenças do sistema nervoso", "Infarto do miocárdio", "Infarto Cerebral", "Insuf. Cardíaca", "Pneumonia", "Bronquites", "Asma"

"2019", 68555.20, 102912.39, 153914.89, 35026.77, 61336.00, 95843.92, 296369, 3104064.28, 16052.46, 737935.13, 1525444.44, 153937.02, 13516.71
"Janeiro", 11561.89, 5730.14, 7319.87, 2135.92, 37203.01, 23635.76, 33800, 317795.23, 4032.91, 35169.84, 56539.31, 0.00, 0.00
"Fevereiro", 5862.99, 7157.74, 3370.02, 2214.97, 0.00, 417.85, 30893.03, 286831.60, 1981.21, 52878.98, 50880.50, 1166.92, 0.00
"Março", 9569.94, 6384.54, 7509.06, 2846.95, 0.00, 2729.70, 16668.04, 251420.19, 2694.68, 42930.58, 84011.29, 869.28, 872.41
"Abril", 9358.01, 10753.37, 4313.59, 670.58, 0.00, 1141.98, 24943.22, 204523.38, 1370.84, 222105.84, 234916.89, 36473.14, 0.00
"Maio", 7482.86, 4774.90, 2987.45, 5451.91, 20852.42, 26185.56, 54851.28, 179804.05, 889.93, 32435.37, 107283.69, 16408.29, 0.00
"Junho", 2749.15, 8464.34, 5587.17, 2521.76, 0.00, 12749.70, 11998.61, 167943.25, 614.21, 99631.83, 170103.32, 1522.47, 30.47
"Julho", 3555.39, 5453.64, 20473.89, 0.00, 0.00, 402.08, 23236.80, 205753.89, 0.00, 26766.51, 167395.49, 31582.86, 0.00
"Agosto", 2020.07, 5887.85, 7358.17, 1879.48, 0.00, 1894.37, 27875.68, 340371.94, 2585.02, 58252.41, 151729.37, 3697.45, 0.00
"Setembro", 5411.72, 19827.59, 31645.63, 6626.22, 0.00, 10680.38, 23530.50, 271721.28, 0.00, 51218.29, 148505.19, 2382.24, 2549.46
"Outubro", 1829.17, 3401.96, 12350.03, 6860.72, 0.00, 2200.20, 11964.24, 334875.42, 460.34, 61938.32, 224418.48, 8842.08, 5389.17
"Novembro", 4863.95, 19405.27, 6306.46, 3029.17, 0.00, 11411.55, 4806.22, 273305.06, 0.00, 24783.92, 64468.89, 17806.88, 4675.20
"Dezembro", 4290.06, 5671.05, 44693.55, 789.09, 3280.57, 2394.79, 31801.66, 269718.99, 1423.32, 29823.24, 65192.02, 33185.41, 0.00

"2020", 45135.03, 86236.85, 146711.24, 107527.19, 25992.69, 127044.76, 334108.36, 3204178.63, 148247.50, 715428.37, 1391926.36, 244289.08, 28952.61
"Janeiro", 1975.05, 10065.20, 1339.78, 1882.32, 1285.78, 5426.85, 34440.24, 336569.89, 14590.80, 38225.32, 131197.88, 379.42, 0.00
"Fevereiro", 2407.80, 27105.29, 11246.65, 9391.00, 0.00, 18327.22, 33252.10, 205238.65, 899.71, 98911.17, 125230.33, 33672.75, 2394.78
"Março", 1354.55, 13542.63, 12591.00, 745.66, 10293.75, 1985.98, 17832.88, 175371.17, 0.00, 64666.27, 57047.65, 28029.64, 1432.44
"Abril", 1361.75, 3660.88, 5447.69, 164.57, 0.00, 18513.81, 14400.72, 211864.07, 3922.67, 29535.15, 66311.70, 18524.98, 0.00
"Maio", 2693.41, 8568.79, 24808.99, 678.73, 0.00, 2789.07, 14402, 266467.23, 2551.64, 23451.32, 43623.79, 0.00, 14997.88
"Junho", 9839.81, 1601.41, 6034.01, 18536.31, 11858.66, 2922.07, 36488, 195438.00, 24143.97, 41219.16, 81263.16, 718.32, 1781.72
"Julho", 1895.17, 2474.40, 11417.55, 8218.65, 1362.47, 22318.68, 48.045.79, 299850.11, 6939.49, 84739.76, 97254.10, 20416.14, 2798.15
"Agosto", 1863.97, 2585.09, 7946.69, 30660.19, 0.00, 7810.74, 15655.28, 365063.79, 0.00, 82240.50, 126543.00, 19500.52, 2781.59
"Setembro", 4725.04, 3914.23, 11955.76, 4983.16, 0.00, 2262.10, 11968.34, 324572.31, 24347.76, 114276.19, 222851.96, 65877.29, 0.00
"Outubro", 5911.80, 3612.27, 24110.15, 2455.55, 0.00, 40747.92, 74926.00, 285342.46, 26938.48, 32191.88, 231001.23, 1990.83, 2085.83
"Novembro", 3156.50, 5234.72, 2259.51, 28591.17, 0.00, 1764.54, 21809.65, 298097.06, 22524.68, 78732.51, 105242.22, 427.07, 0.00
"Dezembro", 7950.18, 3871.94, 27553.46, 1219.88, 1192.03, 2175.78, 10887.08, 240303.89, 21388.30, 27239.14, 104359.34, 54752.12, 680.22

"2021", 59229.28, 44337.52, 137931.97, 44772.66, 19572.20, 64368.33, 379413.59, 3654108.99, 65548.21, 456675.81, 1288992.21, 98675.94, 19138.44
"Janeiro", 3831.73, 1220.51, 8416.89, 9543.88, 2958.57, 1754.54, 50979.28, 254723.04, 944.80, 13158.91, 103217.87, 788.50, 763.87
"Fevereiro", 4168.55, 3581.22, 21722.26, 3845.10, 0.00, 341.23, 15536.46, 214370.75, 0.00, 39891.36, 81531.85, 1125.23, 680.22
"Março", 1526.82, 8300.47, 3005.83, 69.43, 0.00, 508.79, 2214.91, 280027.98, 8437.29, 21984.45, 79374.06, 1884.20, 35.65
"Abril", 7800.85, 2028.73, 11882.00, 2710.20, 0.00, 12697.82, 18177.89, 333916.08, 1336.77, 36901.82, 119490.59, 13499.62, 0.00
"Maio", 6888.03, 1176.05, 7279.30, 3523.69, 0.00, 4511.03, 16912.88, 326440.90, 8391.51, 3385.94, 65004.64, 2615.12, 1453.61
"Junho", 2527.46, 2376.59, 18361.22, 0.00, 0.00, 15594.45, 12061.47, 343349.56, 2874.68, 36934.84, 74439.96, 4898.33, 2843.57
"Julho", 2194.08, 6473.22, 13632.46, 3122.80, 0.00, 5247.52, 104276.33, 369717.80, 0.00, 35432.90, 197099.72, 952.61, 1444.06
"Agosto", 14838.13, 3100.70, 19202.34, 9949.78, 0.00, 6522.32, 68245.68, 300553.34, 0.00, 22190.58, 192051.80, 1415.98, 7323.08
"Setembro", 2707.81, 3257.20, 7192.88, 7099.75, 16613.63, 7854.91, 28300.64, 257273.73, 10897.96, 22080.17, 94618.03, 1735.58, 718.32
"Outubro", 5076.18, 6175.97, 8262.90, 762.59, 0.00, 127.96, 5980, 268674.47, 20499.73, 49508.51, 38977.56, 8509.50, 3876.06
"Novembro", 4007.20, 2538.63, 13895.13, 2665.82, 0.00, 0.00, 19460, 347355.21, 901.81, 83181.37, 172309.76, 26510.15, 0.00
"Dezembro", 3662.44, 4108.23, 5078.76, 1479.62, 0.00, 9207.76, 37268.38, 357706.13, 11263.66, 92024.96, 70876.37, 34741.12, 0.00

"2022", 69261.76, 138142.56, 270072.01, 90440.51, 21699.67, 191307.06, 480784.18, 3277748.63, 406546.01, 590508.25, 1153202.53, 234612.73, 74833.00
"Janeiro", 10126.17, 46094.39, 5449.57, 2783.40, 0.00, 1194.61, 32704.28, 343028.01, 6182.19, 48697.25, 127113.20, 48188.96, 0.00
"Fevereiro", 8341.56, 2851.88, 6369.05, 5834.81, 0.00, 0.00, 86892.97, 242682.69, 13718.44, 19345.26, 31733.40, 16746.12, 1004.36
"Março", 2358.29, 3952.43, 17056.54, 7388.68, 0.00, 48179.84, 38960.48, 338618.48, 5469.92, 13949.92, 137961.51, 6572.22, 3653.76
"Abril", 5342.17, 2075.33, 8025.39, 17356.25, 0.00, 0.00, 23811.41, 274543.84, 37212.36, 78831.77, 38333.52, 24428.95, 680.22
"Maio", 5278.98, 3102.54, 11368.11, 12530.71, 3439.83, 32800.01, 31802.45, 361396.33, 9359.08, 59305.00, 112557.80, 25596.10, 18010.89
"Junho", 12946.30, 5106.12, 35633.79, 9185.53, 0.00, 23009.04, 26175.98, 119354.59, 63428.09, 121288.57, 88913.85, 12438.12, 1792.26
"Julho", 5605.45, 11201.68, 31319.45, 0.00, 0.00, 65355.74, 26576.09, 235512.37, 14854.13, 7879.90, 96300.10, 23935.75, 10096.41
"Agosto", 7714.08, 30700.30, 27150.25, 2465.37, 1190.53, 4481.90, 82275.84, 327351.52, 65922.75, 33092.18, 98305.03, 23386.23, 5869.73
"Setembro", 1776.64, 10561.82, 8263.73, 3415.29, 13958.48, 7066.49, 16532.43, 219883.34, 7141.16, 38732.14, 140878.68, 12155.34, 7636.98
"Outubro", 3115.07, 5934.90, 15825.02, 10297.73, 3110.83, 195.05, 24110.19, 237868.91, 30557.13, 71473.46, 107170.90, 15463.05, 5987.15
"Novembro", 1882.58, 9253.84, 69883.93, 5456.40, 0.00, 869.84, 43231.62, 345537.69, 47761.48, 36282.37, 101362.56, 12445.24, 18650.45
"Dezembro", 4774.47, 7307.33, 33727.18, 13726.34, 0.00, 8154.54, 47710.44, 231970.86, 104939.28, 61630.43, 72571.98, 13256.65, 1450.79
