"Ano/Mês processamento", "Pneumonia", "Bronquites",  "Asma"
2019, 391, 100, 24
Janeiro, 24, 4, 0
Fevereiro, 17, 5, 2 
Março, 22, 2, 0
Abril, 23, 9, 2
Maio, 34, 16, 6
Junho, 62, 20, 0
Julho, 42, 7, 2
Agosto, 32, 6, 6
Setembro, 38, 9, 0 
Outubro, 37, 8, 4
Novembro, 28, 10, 2
Dezembro, 32, 4, 0
2020, 169, 41, 19
Janeiro, 15, 7, 0
Fevereiro, 26, 9, 2
Março, 34, 7, 5
Abril, 14, 2, 1
Maio, 6, 2, 0
Junho, 7, 2, 1
Julho, 9, 1, 3
Agosto, 12, 1, 1
Setembro, 9, 4, 1
Outubro, 11, 1, 3
Novembro, 15, 3, 2
Dezembro, 11, 2, 0
2021, 218, 69, 23
Janeiro, 6, 3, 1
Fevereiro, 13, 4, 1
Março, 22, 7, 1
Abril, 10, 8, 1
Maio, 23, 2, 1
Junho, 15, 5, 2
Julho, 19, 4, 7
Agosto, 17, 3, 3
Setembro, 16, 4, 1
Outubro, 18, 5, 1
Novembro, 31, 10, 3
Dezembro, 28, 14, 1
2022, 420, 164, 30
Janeiro, 45, 21, 
Fevereiro, 21, 13, 
Março, 30, 15,
Abril, 40, 15, 
Maio, 32, 21, 
Junho, 44, 23, 
Julho, 41, 6, 
Agosto, 32, 8, 
Setembro, 35, 13, 
Outubro, 35, 10, 
Novembro, 28, 9, 
Dezembro, 37, 10,
