"Ano/Mês processamento, Meningítes"", ""Doenças de Parkinson, Alzheimer e Epilepsia"", ""Doenças Relacionadas ao sistema Nervoso"""
2019, 0, 44, 149
JANEIRO,	0,	4,	13
FEVEREIRO,	0,	2,	17
MARÇO,	0,	5,	12
ABRIL,	0,	1,	17
MAIO,	0,	4,	19
JUNHO,	0,	3,	8
JULHO,	0,	2,	6
AGOSTO,	0,	5,	13
SETEMBRO,	0,	3,	14
OUTUBRO	0,	6,	8
NOVEMBRO,	0,	6,	7
DEZEMBRO,	0,	3,	15
2020, 0, 68, 98
JANEIRO	0,	6,	10
FEVEREIRO,	0,	8,	10
MARÇO,	0,	4,	12
ABRIL,	0,	5,	6
MAIO,	0,	9,	8
JUNHO,	0,	5,	6
JULHO,	0,	6,	5
AGOSTO,	0,	5,	7
SETEMBRO,	0,	4,	4
OUTUBRO,	0,	5,	12
NOVEMBRO,	0,	6,	10
DEZEMBRO,	0,	5,	8
2021, 0, 36, 138
JANEIRO,	0,	4,	12
FEVEREIRO,	0,	3,	8
MARÇO,	0,	2,	4
ABRIL,	0,	5,	5
MAIO,	0,	2,	11
JUNHO,	0,	2,	10
JULHO,	0,	5,	19
AGOSTO,	0,	2,	12
SETEMBRO,	0,	5,	16
OUTUBRO,	0,	1,	9
NOVEMBRO,	0,	0,	18
DEZEMBRO,	0,	5,	14
2022, 0, 48, 172
JANEIRO, 0,	3,	16
FEVEREIRO,	0,	0	21
MARÇO,	0,	3,	12
ABRIL,	0,	0,	13
MAIO,	0,	2,	12
JUNHO,	0,	6,	13
JULHO,	0,	4,	17
AGOSTO,	0,	1,	17
SETEMBRO,	0,	4,	13
OUTUBRO,	0,	2,	14
NOVEMBRO,	0,	5,	14
DEZEMBRO,	0,	18,	10
