"Ano/Mês processamento", "Pneumonia", "Bronquites",  "Asma"
2019, 562, 41, 10 
Janeiro, 34, 0, 0
Fevereiro, 25, 4, 0 
Março, 32, 1, 1
Abril, 42, 2, 0
Maio, 53, 3, 0
Junho, 50, 3, 1
Julho, 63, 5, 0
Agosto, 56, 5, 0
Setembro, 55, 5, 4 
Outubro, 53, 7, 2
Novembro, 49, 2, 2
Dezembro, 50, 4, 0
2020, 872, 35, 20
Janeiro, 43, 3, 0
Fevereiro, 27, 10, 3
Março, 34, 5, 2
Abril, 31, 0, 0
Maio, 27, 1, 2
Junho, 53, 5, 2
Julho, 125, 1, 5
Agosto, 110, 3, 1
Setembro, 108, 3, 0
Outubro, 93, 2, 4
Novembro, 105, 1, 0  
Dezembro, 116, 1, 1
2021, 1052, 88, 21
Janeiro, 145, 1, 2
Fevereiro, 95, 2, 1
Março, 103, 6, 1
Abril, 152, 9, 0
Maio, 57, 8, 3
Junho, 59, 3, 5
Julho, 74, 2, 2
Agosto, 139, 6, 4 
Setembro, 43, 9, 1
Outubro, 52, 12, 2
Novembro, 83, 7, 0
Dezembro, 50, 23, 0
2022, 475, 111, 80
Janeiro, 57, 12, 0
Fevereiro, 27, 5, 1
Março, 36, 3, 8
Abril, 37, 11, 1
Maio, 55, 9, 7
Junho, 40, 14,4 
Julho, 35, 10, 10
Agosto, 33, 8, 9
Setembro, 34, 8,14 
Outubro, 28, 12, 8
Novembro, 46, 5, 14
Dezembro, 47, 14, 4
