"Ano/Mês processamento", "IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA DE 2 ML E 1.250 UI)", "IMUNOGLOBULINA HUMANA 1.0 G INJETAVEL (POR FRASCO)", "SURFACTANTE FRASCO-AMPOLA", "ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)", "Total"
"2019", 26678.08, 17737.32, 60254.74, 518110
"Janeiro", 2425.28, 123.72, 5717.14, 22825.00, 34652.44
"Fevereiro", 1772.32.-.3118.44, 16995.00, 28550.62
"Março", 1585.76, 0,4157.92, 8360.00, 17065.30
"Abril", 1119.36, 0,5197.40, 8910.00, 15530.16
"Maio", 1399.20, 0,3118.44, 34320.00, 39833.55
"Junho", 1865.60, 0,2598.70, 13695.00, 18215.60
"Julho", 2705.12, 0,4677.66, 21890.00, 32865.96
"Agosto", 2052.16, 0,2598.70, 26345.00, 36746.04
"Setembro", 4757.28, 412.40, 2078.96, 10505.00, 17994.54
"Outubro", 2891.68, 0,2598.70, 14190.00, 23073.49
"Novembro", 3078.24, 0,1039.48, 23925.00, 32649.78
"Dezembro", 2798.40, 206.20, 2598.70, 24145.00, 31377.62
<<<<<<< HEAD
"2020", 0, 0, 0, 0
=======
"2020", 31155.52, 4165.24, 43658.16, 255090
>>>>>>> 2d93e666a56a40a1440f18a62a14ba5249459cd0
"Janeiro", 3264.80, 41.24, 2598.70, 33990.00, 55494.74
"Fevereiro", 2332.00, 0,5717.14, 35145.00, 53242.25
"Março", 2705.12, 0,1559.22, 23870.00, 31286.83
"Abril", 2891.68, 0,4677.66, 26345.00, 43392.78
"Maio", 3264.80, 0,6236.88, 13805.00, 23729.15
"Junho", 2798.40, 0,3118.44, 21395.00, 29275.91
"Julho", 2798.40, 0,1039.48, 16610.00, 22054.60
"Agosto", 2425.28, 0,3638.18, 4125.00, 10300.70
"Setembro", 1679.04, 0,4157.92, 25630.00, 32263.68
"Outubro", 2238.72, 0,6236.88, 14410.00, 26105.79
"Novembro", 2518.56, 3959.04, 1559.22, 21010.00, 37024.87
"Dezembro", 2238.72, 164.96, 3118.44, 18755.00, 30952.16
<<<<<<< HEAD
"2021", 0, 0, 0, 0
"Janeiro", 2332.00, 0,4157.92, 17490.00, 32704.71
"Fevereiro", 2798.40, 0,2078.96, 16830.00, 23551.61
"Março", 2611.84, 0,2598.70, 27280.00, 35603.89
"Abril", 1772.32, 0,5717.14, 20130.00, 30824.20
"Maio", 2425.28, 659.84, 2598.70, 19305.00, 34160.94
"Junho", 1585.76, 0,3638.18, 11330.00, 22882.60
"Julho", 2798.40, 0,1039.48, 12650.00, 20041.08
"Agosto", 2705.12, 1649.60, 5197.40, 19305.00, 35977.64
"Setembro", 2238.72, 4948.80, 4677.66, 26400.00, 39635.62
"Outubro", 2052.16, 0,1039.48, 46475.00, 57812.51
"Novembro", 1772.32, 0,2598.70, 33385.00, 54269.10
"Dezembro", 1492.48, 0,2598.70, 21615.00, 34619.70
"2022", 0, 0, 0, 0
"Janeiro", 1772.32, 0,2078.96, 28325.00, 32608.28
"Fevereiro", 1679.04, 3299.20, 519.74, 12320.00, 21335.71
"Março", 2891.68, 164.96, 5717.14, 7480.00, 18162.76
"Abril", 6343.04, 0,4157.92, 26345.00, 40007.58
"Maio", 2891.68, 0,5197.40, 17985.00, 26720.28
=======
"2021", 26584.8, 7258.24, 37941.02, 272195
"Janeiro", 2332.00, 0, 4157.92, 17490.00, 32704.71
"Fevereiro", 2798.40, 0, 2078.96, 16830.00, 23551.61
"Março", 2611.84, 0, 2598.70, 27280.00, 35603.89
"Abril", 1772.32, 0, 5717.14, 20130.00, 30824.20
"Maio", 2425.28, 659.84, 2598.70, 19305.00, 34160.94
"Junho", 1585.76, 0, 3638.18, 11330.00, 22882.60
"Julho", 2798.40, 0, 1039.48, 12650.00, 20041.08
"Agosto", 2705.12, 1649.60, 5197.40, 19305.00, 35977.64
"Setembro", 2238.72, 4948.80, 4677.66, 26400.00, 39635.62
"Outubro", 2052.16, 0, 1039.48, 46475.00, 57812.51
"Novembro", 1772.32, 0, 2598.70, 33385.00, 54269.10
"Dezembro", 1492.48, 0, 2598.70, 21615.00, 34619.70
"2022", 28916.79, 3464.16, 45217.38, 237710
"Janeiro", 1772.32, 0, 2078.96, 28325.00, 32608.28
"Fevereiro", 1679.04, 3299.20, 519.74, 12320.00, 21335.71
"Março", 2891.68, 164.96, 5717.14, 7480.00, 18162.76
"Abril", 6343.04, 0, 4157.92, 26345.00, 40007.58
"Maio", 2891.68, 0, 5197.40, 17985.00, 26720.28
>>>>>>> 2d93e666a56a40a1440f18a62a14ba5249459cd0
"Junho", 1679.04, 0,2078.96, 12760.00, 19828.75
"Julho", 2984.96, 0,3118.44, 19690.00, 28759.41
"Agosto", 2052.16, 0,3118.44, 11110.00, 16930.18
"Setembro", 1212.64, 0,2078.96, 29645.00, 37156.67
"Outubro", 1772.32, 0,9355.32, 31625.00, 43955.17
"Novembro", 2052.16, 0,4677.66, 20295.00, 32050.62
"Dezembro", 1585.76, 0,3118.44, 20130.00, 29648.71
Total,115107.52, 15629.96, 166316.80, 991100.00, 1492926.28
