"Ano/Mês processamento", "IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA DE 2 ML E 1.250 UI)", "IMUNOGLOBULINA HUMANA 1.0 G INJETAVEL (POR FRASCO)", "SURFACTANTE FRASCO-AMPOLA", "ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)", "Total"
"2019", 0, 0, 0, 0
"Janeiro", 1725.68,948.52,3898.05,12127.50,23937.75 
"Fevereiro", 1166.00,371.16, 0,6242.50,18255.66 
"Março", 1352.56,329.92,1559.22,5527.50,14054.82 
"Abril", 2238.72,556.74,9355.32,18150.00,43443.40 
"Maio", 606.32,1010.38, 0,5115.00,6731.70 
"Junho", 1399.20,1257.82,3118.44,14740.00,20515.46 
"Julho", 1585.76,226.82,3898.05,7397.50,13155.75 
"Agosto", 1632.40,907.28,5457.27,7067.50,15112.07 
"Setembro", 1212.64,494.88,3898.05,9790.00,15443.19 
"Outubro", 1259.28,288.68, 0,15730.00,18970.38 
"Novembro", 1072.72,824.80,2338.83,9157.50,15038.65 
"Dezembro", 1259.28,433.02,2338.83,2915.00,7357.33 
"2020", 0, 0, 0, 0
"Janeiro", 886.16,371.16,4677.66,5995.00,12800.00 
"Fevereiro", 886.16,391.78,2338.83,2392.50,6104.51 
"Março", 1212.64,453.64,6236.88,6957.50,16556.06 
"Abril", 1026.08,391.78,4677.66,9487.50,18249.64 
"Maio", 1772.32,721.70,11694.15,6105.00,21574.39 
"Junho", 1492.48,329.92,7016.49,6902.50,18208.59 
"Julho", 1072.72,783.56,3898.05,6792.50,16247.63 
"Agosto", 1119.36,948.52,3118.44,3767.50,13065.82 
"Setembro", 606.32,597.98,1559.22,8470.00,12562.36 
"Outubro", 2378.64,2721.84,4677.66,5995.00,16184.34 
"Novembro", 1818.96,659.84,6236.88,4675.00,19558.68 
"Dezembro", 1725.68,247.44,2338.83,12292.50,18850.93 
"2021", 0, 0, 0, 0
"Janeiro", 1492.48,1402.16,3118.44,6792.50,14134.42 
"Fevereiro", 746.24,4124.00,8575.71,5555.00,20329.79 
"Março", 1072.72,1979.52,10914.54,7452.50,22652.88 
"Abril", 1259.28,1154.72,4677.66,6077.50,14813.96 
"Maio", 373.12,1567.12,3898.05,5747.50,12819.39 
"Junho", 606.32,4371.44,2338.83,6325.00,13641.59 
"Julho", 1585.76,2556.88,6236.88,7507.50,21176.62 
"Agosto", 1305.92,3134.24,2338.83,6517.50,14118.89 
"Setembro", 1166.00,5278.72,2338.83,11412.50,28831.25 
"Outubro", 1772.32,4618.88,9355.32,5087.50,24686.62 
"Novembro", 1166.00,2639.36,6236.88,8525.00,24571.08 
"Dezembro", 1679.04,3299.20,1559.22,7782.50,17198.36 
"2022", 0, 0, 0, 0
"Janeiro", 1399.20,4783.84,7796.10,5362.50,23548.88 
"Fevereiro", 1399.20,14351.52,6236.88,11330.00,37018.40 
"Março", 1585.76,6680.88,2338.83,8140.00,24091.07 
"Abril", 1305.92,5443.68,4677.66,13282.50,26765.76 
"Maio", 2005.52,7175.76,5457.27,12705.00,30412.43 
"Junho", 1492.48,6186.00,7796.10,6627.50,22608.52 
"Julho", 1212.64,8907.84,7016.49,16775.00,36885.61 
"Agosto", 2471.92,11382.24,5457.27,16417.50,36962.53 
"Setembro", 886.16,4701.36,2338.83,10725.00,19568.99 
"Outubro", 1259.28,4701.36,7016.49,7892.50,20869.63 
"Novembro", 1119.36,2804.32,2338.83,11522.50,19018.61 
"Dezembro", 1445.84,4453.92,7016.49,14080.00,29514.05 
"Total", 64316.56,133968.14,221409.24,413435.00,958218.44 
