"Ano/Mês processamento", "IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA DE 2 ML E 1.250 UI)", "IMUNOGLOBULINA HUMANA 1.0 G INJETAVEL (POR FRASCO)", "SURFACTANTE FRASCO-AMPOLA", "ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)", "Total"
"2019", -, -, -, -
"Janeiro",26,3,11,415,1009
"Fevereiro",19,-,6,309,547
"Março",17,-,8,152,451
"Abril",12,-,10,162,325
"Maio",15,-,6,624,1088
"Junho",20,-,5,249,373
"Julho",29,-,9,398,793
"Agosto",22,-,5,479,825
"Setembro",51,10,4,191,348
"Outubro",31,-,5,258,635
"Novembro",33,-,2,435,921
"Dezembro",30,5,5,439,689
"2020", -, -, -, -
"Janeiro",35,1,5,618,1361
"Fevereiro",25,-,11,639,1525
"Março",29,-,3,434,790
"Abril",31,-,9,479,1054
"Maio",35,-,12,251,505
"Junho",30,-,6,389,918
"Julho",30,-,2,302,602
"Agosto",26,-,7,75,144
"Setembro",18,-,8,466,993
"Outubro",24,-,12,262,633
"Novembro",27,24,3,382,1251
"Dezembro",24,1,6,341,955
"2021", -, -, -, -
"Janeiro",25,-,8,318,806
"Fevereiro",30,-,4,306,886
"Março",28,-,5,496,729
"Abril",19,-,11,366,923
"Maio",26,4,5,351,967
"Junho",17,-,7,206,820
"Julho",30,-,2,230,827
"Agosto",29,10,10,351,1115
"Setembro",24,30,9,480,1581
"Outubro",22,-,2,845,2526
"Novembro",19,-,5,607,2340
"Dezembro",16,-,5,393,1660
"2022", -, -, -, -
"Janeiro",19,-,4,515,1402
"Fevereiro",18,20,1,224,1087
"Março",31,1,11,136,1090
"Abril",68,-,8,479,1746
"Maio",31,-,10,327,1249
"Junho",18,-,4,232,960
"Julho",32,-,6,358,1249
"Agosto",22,-,6,202,794
"Setembro",13,-,4,539,1703
"Outubro",19,-,18,575,1622
"Novembro",22,-,9,369,1672
"Dezembro",17,-,6,366,1490
Total,1234,109,320,18020,49979
