"Ano/Mês processamento", "IMUNOGLOBULINA ANTI-RHO (D) (FRASCO AMPOLA DE 2 ML E 1.250 UI)", "IMUNOGLOBULINA HUMANA 1.0 G INJETAVEL (POR FRASCO)", "SURFACTANTE FRASCO-AMPOLA", "ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML)", "Total"
"2019". -. -. -. -
"Janeiro",18,19,5,164,212
"Fevereiro",12,9,-,104,137
"Março",14,8,2,78,109
"Abril",24,12,12,258,322
"Maio",6,22,-,89,117
"Junho",15,23,4,228,270
"Julho",15,5,5,121,147
"Agosto",16,18,7,107,149
"Setembro",13,9,5,143,171
"Outubro",13,7,-,241,266
"Novembro",10,18,3,145,180
"Dezembro",13,10,3,49,76
"2020". -. -. -. -
"Janeiro",9,9,6,89,116
"Fevereiro",9,9,3,42,65
"Março",12,11,8,111,145
"Abril",11,9,6,135,165
"Maio",18,17,15,98,152
"Junho",14,7,9,100,136
"Julho",11,19,5,107,151
"Agosto",11,23,4,55,103
"Setembro",6,13,2,139,165
"Outubro",23,14,6,83,127
"Novembro",17,4,8,69,113
"Dezembro",17,1,3,177,207
"2021". -. -. -. -
"Janeiro",14,8,4,89,120
"Fevereiro",8,23,11,81,128
"Março",11,11,14,119,158
"Abril",12,7,6,92,121
"Maio",4,8,5,89,109
"Junho",6,24,3,98,131
"Julho",16,14,8,120,166
"Agosto",13,19,3,90,127
"Setembro",12,32,3,179,247
"Outubro",18,27,12,81,144
"Novembro",12,16,8,131,180
"Dezembro",15,20,2,122,166
"2022". -. -. -. -
"Janeiro",14,29,10,88,153
"Fevereiro",14,74,8,176,281
"Março",16,38,3,110,180
"Abril",13,33,6,196,253
"Maio",18,40,7,216,292
"Junho",13,33,10,94,153
"Julho",12,54,9,269,353
"Agosto",23,49,7,260,342
"Setembro",7,26,3,173,213
"Outubro",12,27,9,123,171
"Novembro",11,17,3,164,198
"Dezembro",13,24,9,202,253
Total,634,949,284,6294,8440
