"Ano/mês processamento", "Procedimentos com finalidade diagnóstica", "Procedimentos clínicos", "Procedimentos cirúrgicos", "Órteses; próteses e materiais especiais", "Ações complementares da atenção à saúde", "Total"
"2019", 995928.84, 4088692.84, 5057219.01, 541671.26, 4519505.97, 15203017.92
"Janeiro", 76681.02, 325939.20, 357638.36, 41987.26, 413479.53, 1215725.37
"Fevereiro", 82224.57, 284999.55, 476952.39, 47422.12, 292468.16, 1184066.79
"Março", 79144.75, 320589.97, 436125.54, 48794.06, 403738.40, 1288392.72
"Abril", 73935.30, 339728.30, 424441.56, 39282.38, 398474.00, 1275861.54
"Maio", 76240.58, 391933.53, 425441.82, 36103.49, 371761.24, 1301480.66
"Junho", 78149.97, 375207.25, 446269.04, 52573.02, 470860.80, 1423060.08
"Julho", 87255.22, 357903.92, 515074.30, 55204.47, 377090.65, 1392528.56
"Agosto", 81095.39, 330358.30, 414863.72, 39973.02, 348523.82, 1214814.25
"Setembro", 91086.50, 326812.49, 409101.75, 61777.80, 365196.81, 1253975.35
"Outubro", 100405.11, 351411.40, 402363.40, 35079.82, 387117.93, 1276377.66
"Novembro", 85290.10, 332274.49, 406514.01, 44178.73, 328814.04, 1197071.37
"Dezembro", 84420.33, 351534.44, 342433.12, 39295.09, 361980.59, 1179663.57
"2020", 1070574.90, 4725863.00, 4661019.04, 502244.52, 4945335.98, 15905037.44
"Janeiro", 82264.45, 326779.67, 363459.26, 45021.15, 383225.51, 1200750.04
"Fevereiro", 77264.46, 348844.84, 336761.59, 33133.67, 387268.94, 1183273.50
"Março", 81720.29, 386588.54, 408632.40, 44282.59, 445735.05, 1366958.87
"Abril", 76624.85, 299656.02, 335141.60, 32172.93, 291444.92, 1035040.32
"Maio", 82592.32, 303056.57, 495621.63, 41832.57, 361557.93, 1284661.02
"Junho", 83457.75, 375423.79, 363492.89, 29978.57, 316284.01, 1168637.01
"Julho", 97855.76, 459315.60, 370072.38, 58032.86, 343106.35, 1328382.95
"Agosto", 91158.89, 451044.53, 378951.55, 40488.95, 335897.85, 1297541.77
"Setembro", 85200.58, 396241.23, 362628.32, 38416.49, 333418.96, 1215905.58
"Outubro", 82801.08, 349692.08, 373083.84, 35936.79, 499552.20, 1341065.99
"Novembro", 124651.58, 579487.84, 385960.60, 51672.73, 534466.20, 1676238.95
"Dezembro", 104982.89, 449732.29, 487212.98, 51275.22, 713378.06, 1806581.44
"2021", 1282856.17, 5908348.97, 5119801.97, 541053.15, 9069181.34, 21921241.60
"Janeiro", 107102.18, 521760.79, 403915.92, 49717.20, 828307.79, 1910803.88
"Fevereiro", 104471.54, 443427.41, 386137.32, 33628.26, 636237.07, 1603901.60
"Março", 104459.74, 604426.02, 334719.83, 39074.10, 847235.01, 1929914.70
"Abril", 90646.06, 513504.98, 271386.42, 31709.74, 706787.50, 1614034.70
"Maio", 122314.64, 724930.33, 403609.76, 47775.34, 1335012.85, 2633642.92
"Junho", 120825.65, 603474.14, 382109.50, 37764.50, 1055425.56, 2199599.35
"Julho", 106114.03, 543197.11, 415186.51, 52159.00, 905033.49, 2021690.14
"Agosto", 104709.47, 459933.22, 436056.14, 57118.84, 814858.92, 1872676.59
"Setembro", 103401.02, 402390.64, 380299.70, 38722.99, 542449.91, 1467264.26
"Outubro", 96897.28, 348941.45, 591021.95, 49041.01, 485926.11, 1571827.80
"Novembro", 107345.16, 366325.49, 567124.51, 49018.57, 468272.97, 1558086.70
"Dezembro", 114569.40, 376037.39, 548234.41, 55323.60, 443634.16, 1537798.96
"2022", 1472700.00, 4930402.44, 5945490.47, 574367.01, 7796592.39, 20719552.31
"Janeiro", 121311.72, 453780.60, 396716.32, 39545.40, 766493.75, 1777847.79
"Fevereiro", 121243.48, 519143.35, 406668.17, 43795.69, 885407.63, 1976258.32
"Março", 120270.54, 410569.66, 442791.59, 34187.19, 582875.87, 1590694.85
"Abril", 106981.37, 405101.12, 412367.95, 40518.45, 613330.35, 1578299.24
"Maio", 123121.47, 380713.61, 441000.58, 49811.21, 541857.59, 1536504.46
"Junho", 125734.82, 383118.43, 639177.84, 73015.72, 593123.07, 1814169.88
"Julho", 113136.81, 412634.55, 539607.92, 55380.46, 624933.83, 1745693.57
"Agosto", 146298.55, 435957.79, 535243.72, 36314.32, 660899.31, 1814713.69
"Setembro", 124221.90, 357475.04, 609726.75, 42079.99, 510531.74, 1644035.42
"Outubro", 122538.55, 389969.84, 559481.57, 58640.60, 584633.58, 1715264.14
"Novembro", 103976.17, 367560.43, 457361.54, 49491.59, 691793.98, 1670183.71
"Dezembro", 143864.62, 414378.02, 505346.52, 51586.39, 740711.69, 1855887.24
"Total", 4822059.91, 19653307.25, 20783530.49, 2159335.94, 26330615.68, 73748849.27
