"Ano/mês processamento", "Procedimentos com finalidade diagnóstica", "Procedimentos clínicos", "Procedimentos cirúrgicos", "Órteses; próteses e materiais especiais", "Ações complementares da atenção à saúde", "Total"
"2019", 2515976.57, 12211386.22, 13525730.12, 4742300.45, 12140859.65, 45136253.01
"Janeiro", 204821.76, 1017012.15, 940347.99, 357043.11, 1212268.36, 3731493.37
"Fevereiro", 211216.74, 908719.59, 1019345.49, 397690.61, 720275.55, 3257247.98
"Março", 203407.18, 949453.04, 1103176.33, 369883.36, 1150741.67, 3776661.58
"Abril", 179903.08, 899704.20, 1031709.82, 344582.89, 931351.24, 3387251.23
"Maio", 177003.59, 982390.74, 993575.90, 357484.81, 1152645.91, 3663100.95
"Junho", 185858.32, 989704.09, 1081377.72, 401191.98, 1045040.75, 3703172.86
"Julho", 195751.84, 1028581.96, 997497.97, 310889.51, 1089297.83, 3622019.11
"Agosto", 241315.98, 1142783.41, 1483851.68, 499996.50, 870406.71, 4238354.28
"Setembro", 252630.89, 1184481.54, 1261043.10, 467364.39, 983552.18, 4149072.10
"Outubro", 230473.32, 1133730.45, 1212592.07, 437345.71, 1174266.91, 4188408.46
"Novembro", 226392.87, 963841.83, 1396653.04, 468430.05, 888740.74, 3944058.53
"Dezembro", 207201.00, 1010983.22, 1004559.01, 330397.53, 922271.80, 3475412.56
"2020", 2765864.23, 12292798.12, 12911723.72, 4788041.08, 11271225.25, 44029652.40
"Janeiro", 211106.54, 957439.95, 1077488.50, 440792.80, 1000195.81, 3687023.60
"Fevereiro", 214137.16, 962520.44, 1100032.89, 418333.72, 1000061.49, 3695085.70
"Março", 218312.47, 1010469.45, 1169430.05, 380910.60, 1027834.61, 3806957.18
"Abril", 183199.81, 838130.80, 873921.31, 316408.70, 888237.11, 3099897.73
"Maio", 211917.10, 898175.58, 939295.70, 416853.43, 850200.95, 3316442.76
"Junho", 248368.17, 1057905.61, 926774.58, 377034.45, 1036689.98, 3646772.79
"Julho", 220934.72, 1009820.79, 975757.80, 416252.39, 955154.38, 3577920.08
"Agosto", 257111.97, 1252453.43, 1148387.76, 459080.91, 1248966.74, 4366000.81
"Setembro", 264897.21, 1366512.08, 1110828.68, 286402.37, 805844.55, 3834484.89
"Outubro", 234085.45, 961552.29, 1166541.42, 435926.15, 882230.69, 3680336.00
"Novembro", 269881.47, 1071328.47, 1243508.17, 436673.72, 793830.02, 3815221.85
"Dezembro", 231912.16, 906489.23, 1179756.86, 403371.84, 781978.92, 3503509.01
"2021", 3913210.13, 15857476.12, 13537202.30, 4924162.71, 12746806.74, 50978858.00
"Janeiro", 307391.62, 1369401.63, 996125.28, 344217.02, 1428644.35, 4445779.90
"Fevereiro", 274705.61, 1138758.74, 959554.20, 362836.37, 859709.05, 3595563.97
"Março", 318286.91, 1389981.44, 1121914.31, 401474.47, 1100726.54, 4332383.67
"Abril", 370180.83, 1837050.79, 1117486.38, 369101.18, 1365206.47, 5059025.65
"Maio", 369263.67, 1746324.84, 1063944.78, 352301.40, 1143649.65, 4675484.34
"Junho", 327261.95, 1627992.12, 954700.75, 435625.71, 925979.40, 4271559.93
"Julho", 343997.43, 1340099.58, 1355179.79, 479569.67, 999210.08, 4518056.55
"Agosto", 360795.74, 1275661.98, 1393858.79, 427819.43, 1327967.96, 4786103.90
"Setembro", 325916.79, 1097414.96, 1201538.83, 429241.52, 974101.92, 4028214.02
"Outubro", 312484.25, 1087278.26, 1306717.82, 459885.76, 978646.05, 4145012.14
"Novembro", 313909.13, 1014221.36, 1097557.27, 388110.53, 840862.49, 3654660.78
"Dezembro", 289016.20, 933290.42, 968624.10, 473979.65, 802102.78, 3467013.15
"2022", 4578194.66, 13645027.96, 15490789.85, 5148888.20, 16473967.24, 55336867.91
"Janeiro", 360635.28, 1184766.10, 1042115.75, 403670.50, 1157286.31, 4148473.94
"Fevereiro", 330940.77, 1080561.67, 1038100.51, 466651.05, 823439.41, 3739693.41
"Março", 391270.09, 1209525.89, 1282163.64, 558622.78, 1648215.60, 5089798.00
"Abril", 323000.75, 1051247.06, 1032227.78, 464362.22, 1067517.78, 3938355.59
"Maio", 403142.44, 1193206.96, 1420861.17, 474382.72, 1501966.73, 4993560.02
"Junho", 359035.08, 1052397.71, 1212722.16, 352046.63, 1315351.29, 4291552.87
"Julho", 403384.88, 1190721.56, 1337659.23, 443964.18, 1691784.49, 5067514.34
"Agosto", 396849.79, 1105083.78, 1438479.22, 389565.03, 1250580.23, 4580558.05
"Setembro", 410090.96, 1147752.02, 1383569.16, 438959.00, 1447215.47, 4827586.61
"Outubro", 464772.28, 1241878.87, 1573202.80, 429503.27, 1835857.28, 5545214.50
"Novembro", 357599.88, 1062118.16, 1441014.06, 350027.63, 1487589.66, 4698349.39
"Dezembro", 377472.46, 1125768.18, 1288674.37, 377133.19, 1247162.99, 4416211.19
"Total", 13773245.59, 54006688.42, 55465445.99, 19603392.44, 52632858.88, 195481631.32
