"Ano/mês processamento", "Procedimentos com finalidade diagnóstica", "Procedimentos clínicos", "Procedimentos cirúrgicos", "Órteses; próteses e materiais especiais", "Ações complementares da atenção à saúde", "Total"
"2019", 337511.99, 2331696.74, 1793244.27, 451571.33, 3250827.16, 8164851.49
"Janeiro", 0, 0, 0, 0, 0, 0
"Fevereiro", 0, 0, 0, 0, 0, 0
"Março", 0, 0, 0, 0, 0, 0
"Abril", 0, 0, 0, 0, 0, 0
"Maio", 24797.72, 235636.67, 199086.42, 39552.93, 223187.70, 722261.44
"Junho", 37643.10, 312447.56, 233812.87, 59298.90, 303202.23, 946404.66
"Julho", 42852.09, 284720.02, 230376.25, 65927.27, 371951.37, 995827.00
"Agosto", 64385.04, 312545.22, 237715.16, 60571.08, 517997.05, 1193213.55
"Setembro", 57377.51, 369361.49, 254315.80, 57249.47, 591576.72, 1329880.99
"Outubro", 40566.72, 310335.38, 237669.41, 67251.48, 360971.78, 1016794.77
"Novembro", 39948.02, 257011.64, 223793.55, 66118.34, 459617.69, 1046489.24
"Dezembro", 29941.79, 249638.76, 176474.81, 35601.86, 422322.62, 913979.84
"2020", 589933.55, 4477150.80, 2435618.24, 267918.59, 9288435.44, 17059056.62
"Janeiro", 45173.40, 308326.52, 227878.92, 39319.54, 575961.41, 1196659.79
"Fevereiro", 41744.84, 249288.32, 218351.64, 27168.03, 408109.74, 944662.57
"Março", 38840.11, 297405.27, 221848.94, 47589.53, 377134.71, 982818.56
"Abril", 24760.97, 324697.87, 164721.43, 14512.00, 526768.62, 1055460.89
"Maio", 53124.89, 373056.88, 177416.84, 7306.94, 680801.75, 1291707.30
"Junho", 60928.90, 391503.30, 203623.76, 13412.95, 841712.19, 1511181.10
"Julho", 63586.91, 443891.84, 187338.31, 26740.42, 788709.53, 1510267.01
"Agosto", 52842.87, 441721.20, 174104.37, 18423.60, 961932.99, 1649025.03
"Setembro", 64392.59, 430885.76, 186433.83, 9042.38, 1077544.88, 1768299.44
"Outubro", 45256.83, 417131.98, 211491.15, 20516.45, 1487505.54, 2181901.95
"Novembro", 49912.62, 367495.12, 229115.64, 23219.75, 637077.58, 1306820.71
"Dezembro", 49368.62, 431746.74, 233293.41, 20667.00, 925176.50, 1660252.27
"2021", 786628.30, 6898557.45, 2810704.30, 288313.55, 16746545.78, 27530749.38
"Janeiro", 49024.55, 445556.64, 197996.32, 12865.52, 909187.20, 1614630.23
"Fevereiro", 60742.72, 427873.11, 208642.34, 30199.61, 1360604.24, 2088062.02
"Março", 58816.89, 476204.42, 214705.73, 21990.09, 1216745.99, 1988463.12
"Abril", 65841.25, 689700.88, 173940.78, 2919.05, 1885827.97, 2818229.93
"Maio", 55551.56, 654647.82, 200926.39, 13379.03, 1898948.05, 2823452.85
"Junho", 64781.06, 1044580.89, 227520.44, 8722.52, 2155577.21, 3501182.12
"Julho", 74020.91, 737463.30, 219679.91, 14918.26, 2123470.51, 3169552.89
"Agosto", 87857.57, 970969.30, 285093.71, 29568.72, 1776751.82, 3150241.12
"Setembro", 68272.22, 363565.40, 273135.75, 33758.02, 1236284.08, 1975015.47
"Outubro", 77809.68, 388641.51, 284686.93, 59557.42, 913636.28, 1724331.82
"Novembro", 73423.44, 378300.56, 297606.77, 26014.60, 806935.98, 1582281.35
"Dezembro", 50486.45, 321053.62, 226769.23, 34420.71, 462576.45, 1095306.46
"2022", 1378895.65, 5371056.56, 4107890.98, 415741.85, 8859439.08, 20133024.12
"Janeiro", 102108.35, 550988.97, 244319.36, 15772.84, 813239.49, 1726429.01
"Fevereiro", 72482.22, 557528.46, 315205.75, 29056.55, 1041692.97, 2015965.95
"Março", 98804.42, 490089.10, 320863.08, 36309.89, 889656.86, 1835723.35
"Abril", 108494.43, 472167.12, 344183.37, 56690.31, 762156.77, 1743692.00
"Maio", 103142.33, 454928.85, 375189.41, 36581.10, 619354.75, 1589196.44
"Junho", 111881.50, 442665.52, 305009.33, 43820.05, 922288.57, 1825664.97
"Julho", 127900.07, 393262.84, 408834.50, 36930.39, 752404.30, 1719332.10
"Agosto", 150028.09, 422366.92, 366866.68, 24491.07, 690485.58, 1654238.34
"Setembro", 117694.91, 371097.59, 343400.85, 37592.09, 603186.10, 1472971.54
"Outubro", 131859.15, 417643.29, 379569.43, 47731.32, 658998.18, 1635801.37
"Novembro", 123764.37, 406068.96, 342782.74, 30019.08, 487582.49, 1390217.64
"Dezembro", 130735.81, 392248.94, 361666.48, 20747.16, 618393.02, 1523791.41
"Total", 3092969.49, 19078461.55, 11147457.79, 1423545.32, 38145247.46, 72887681.61
