 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Ano/mês processamento e Grupo procedimento
Município: 352440 JACAREI
Grupo procedimento: 02 Procedimentos com finalidade diagnóstica, 03 Procedimentos clínicos, 04 Procedimentos cirúrgicos
Período:2019-2022
"Ano/mês processamento";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"Total"
"2019";4141,94;8077874,30;7156421,42;15238437,66
"..Janeiro/2019";521,68;702287,39;514133,44;1216942,51
"..Fevereiro/2019";1604,48;556280,18;629314,49;1187199,15
"..Março/2019";-;659851,79;630494,43;1290346,22
"..Abril/2019";1108,89;664118,44;619163,87;1284391,20
"..Maio/2019";-;734743,33;569360,19;1304103,52
"..Junho/2019";348,59;804756,04;620246,67;1425351,30
"..Julho/2019";-;673196,22;723575,24;1396771,46
"..Agosto/2019";-;635485,89;581199,96;1216685,85
"..Setembro/2019";-;599918,72;655658,45;1255577,17
"..Outubro/2019";-;701112,24;576913,02;1278025,26
"..Novembro/2019";245,59;652716,65;547052,11;1200014,35
"..Dezembro/2019";312,71;693407,41;489309,55;1183029,67
"2020";5464,83;9416121,46;6524705,29;15946291,58
"..Janeiro/2020";-;672989,73;529791,53;1202781,26
"..Fevereiro/2020";801,27;713886,55;469248,14;1183935,96
"..Março/2020";-;810436,43;560790,90;1371227,33
"..Abril/2020";1305,92;589925,51;445171,65;1036403,08
"..Maio/2020";1411,86;622528,71;663457,87;1287398,44
"..Junho/2020";455,44;675861,16;499181,79;1175498,39
"..Julho/2020";-;783485,50;548913,67;1332399,17
"..Agosto/2020";327,16;784273,35;519079,34;1303679,85
"..Setembro/2020";-;699600,74;518472,82;1218073,56
"..Outubro/2020";805,59;822628,76;522040,16;1345474,51
"..Novembro/2020";-;1107369,08;574327,43;1681696,51
"..Dezembro/2020";357,59;1133135,94;674229,99;1807723,52
"2021";5568,06;14745431,16;7217043,78;21968043,00
"  Janeiro/2021";1549,84;1312109,60;602236,54;1915895,98
"  Fevereiro/2021";-;1027683,97;579545,67;1607229,64
"  Março/2021";-;1440157,34;496018,84;1936176,18
"  Abril/2021";387,31;1189254,73;425518,52;1615160,56
"  Maio/2021";1154,69;2088551,04;549263,61;2638969,34
"  Junho/2021";944,26;1642033,69;560442,42;2203420,37
"  Julho/2021";-;1419832,06;608892,66;2028724,72
"  Agosto/2021";356,59;1239565,73;634275,97;1874198,29
"  Setembro/2021";-;939326,67;530573,83;1469900,50
"  Outubro/2021";346,91;840373,75;736584,30;1577304,96
"  Novembro/2021";-;804708,52;755358,78;1560067,30
"  Dezembro/2021";828,46;801834,06;738332,64;1540995,16
"2022";12477,52;12123354,49;8632263,61;20768095,62
"..Janeiro/2022";-;1179108,80;600672,99;1779781,79
"..Fevereiro/2022";1904,56;1362053,73;615492,83;1979451,12
"..Março/2022";569,24;1007233,12;589083,16;1596885,52
"..Abril/2022";-;967499,76;613471,00;1580970,76
"..Maio/2022";498,87;831276,79;707003,42;1538779,08
"..Junho/2022";-;809563,20;1006174,00;1815737,20
"..Julho/2022";3432,38;972500,37;777139,87;1753072,62
"..Agosto/2022";1622,06;1087675,34;728406,03;1817703,43
"..Setembro/2022";-;824288,80;820664,86;1644953,66
"..Outubro/2022";842,08;938383,76;778130,34;1717356,18
"..Novembro/2022";972,69;1027084,57;650303,06;1678360,32
"..Dezembro/2022";2635,64;1116686,25;745722,05;1865043,94
"Total";27652,35;44362781,41;29530434,10;73920867,86
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
