"Ano/mês processamento", "Procedimentos com finalidade diagnóstica", "Procedimentos clínicos", "Procedimentos cirúrgicos", "Órteses; próteses e materiais especiais", "Ações complementares da atenção à saúde", "Total"
"2019", 660842, 601645, 34203, 7318, 77036, 1381044
"Janeiro", 52454, 49496, 3193, 565, 7317, 113025
"Fevereiro", 46936, 37558, 2648, 577, 4797, 92516
"Março", 50929, 47456, 3309, 565, 6467, 108726
"Abril", 49240, 45471, 3221, 578, 5854, 104364
"Maio", 52305, 58609, 2895, 566, 6961, 121336
"Junho", 50660, 48248, 2611, 623, 6188, 108330
"Julho", 54693, 53682, 2276, 491, 6429, 117571
"Agosto", 61924, 53891, 3279, 741, 6782, 126617
"Setembro", 65692, 53153, 2941, 711, 6713, 129210
"Outubro", 63082, 55751, 2609, 692, 6854, 128988
"Novembro", 57063, 51391, 2991, 709, 6560, 118714
"Dezembro", 55864, 46939, 2230, 500, 6114, 111647
"2020", 693919, 549900, 23977, 7229, 60285, 1335310
"Janeiro", 57522, 47016, 2377, 682, 6316, 113913
"Fevereiro", 55420, 47989, 2621, 608, 5753, 112391
"Março", 56950, 46775, 2785, 633, 6207, 113350
"Abril", 47809, 39945, 2082, 506, 4966, 95308
"Maio", 52753, 40375, 1773, 583, 4779, 100263
"Junho", 64861, 45225, 1976, 581, 5172, 117815
"Julho", 57553, 43251, 1974, 634, 4713, 108125
"Agosto", 51853, 52958, 1800, 684, 5226, 112521
"Setembro", 72420, 54182, 1640, 471, 4590, 133303
"Outubro", 62188, 45080, 1617, 621, 4376, 113882
"Novembro", 63539, 48747, 1781, 668, 4450, 119185
"Dezembro", 51051, 38357, 1551, 558, 3737, 95254
"2021", 877907, 721311, 18396, 7553, 65601, 1690768
"Janeiro", 75364, 61224, 1710, 529, 5756, 144583
"Fevereiro", 58734, 47928, 1513, 588, 3939, 112702
"Março", 69737, 61019, 1542, 654, 4861, 137813
"Abril", 90679, 76876, 1395, 608, 5599, 175157
"Maio", 94181, 72134, 1361, 530, 5619, 173825
"Junho", 77698, 70087, 1247, 704, 4828, 154564
"Julho", 63883, 62549, 1762, 713, 4921, 133828
"Agosto", 84933, 68257, 1786, 678, 6070, 161724
"Setembro", 61155, 53303, 1617, 632, 5593, 122300
"Outubro", 74351, 55866, 1693, 703, 6210, 138823
"Novembro", 67656, 46968, 1467, 566, 6370, 123027
"Dezembro", 59536, 45100, 1303, 648, 5835, 112422
"2022", 958884, 834628, 19322, 9255, 93946, 1916035
"Janeiro", 87852, 59654, 1506, 636, 7931, 157579
"Fevereiro", 60383, 53136, 1427, 706, 6471, 122123
"Março", 98783, 74038, 1745, 885, 9263, 184714
"Abril", 74617, 54838, 1374, 675, 7090, 138594
"Maio", 84993, 69803, 1817, 786, 8702, 166101
"Junho", 68444, 64323, 1542, 688, 7420, 142417
"Julho", 89950, 81309, 1778, 906, 9194, 183137
"Agosto", 72107, 65296, 1709, 762, 7237, 147111
"Setembro", 81203, 72958, 1602, 883, 8152, 164798
"Outubro", 97712, 88367, 1760, 934, 9021, 197794
"Novembro", 73732, 73039, 1598, 651, 6749, 155769
"Dezembro", 69108, 77867, 1464, 743, 6716, 155898
"Total", 3191552, 2707484, 95898, 31355, 296868, 6323157
