"Ano/mês atendimento", "Aparelho respiratório", "Tratamento de doenças infecciosas e parasitárias", "Traqueia e brônquios", "Pulmão", "Total"
"2019", 348.59, 1864742.50, 10884.56, 22207.28, 1898182.93
"Janeiro", 0, 113790.54, 0, 0, 113790.54
"Fevereiro", 0, 129572.67, 0, 9074.26, 138646.93
"Março", 0, 191933.47, 741.68, 0, 192675.15
"Abril", 0, 145330.23, 0, 4765.11, 150095.34
"Maio", 0, 252468.86, 3755.88, 0, 256224.74
"Junho", 348.59, 167515.64, 3899.10, 2317.27, 174080.60
"Julho", 0, 135254.00, 0, 0, 135254.00
"Agosto", 0, 68494.52, 1746.22, 3148.50, 73389.24
"Setembro", 0, 162213.42, 0, 0, 162213.42
"Outubro", 0, 137917.75, 0, 0, 137917.75
"Novembro", 0, 189557.17, 0, 2902.14, 192459.31
"Dezembro", 0, 170694.23, 741.68, 0, 171435.91
"2020", 0, 3545270.90, 1285.46, 5546.25, 3552102.61
"Janeiro", 0, 123267.66, 0, 0, 123267.66
"Fevereiro", 0, 206003.52, 0, 3123.15, 209126.67
"Março", 0, 122427.43, 0, 0, 122427.43
"Abril", 0, 129474.96, 0, 0, 129474.96
"Maio", 0, 159696.38, 1285.46, 0, 160981.84
"Junho", 0, 254218.54, 0, 0, 254218.54
"Julho", 0, 241769.40, 0, 0, 241769.40
"Agosto", 0, 324115.46, 0, 0, 324115.46
"Setembro", 0, 412470.22, 0, 0, 412470.22
"Outubro", 0, 301281.92, 0, 2423.10, 303705.02
"Novembro", 0, 357221.72, 0, 0, 357221.72
"Dezembro", 0, 913323.69, 0, 0, 913323.69
"2021", 356.59, 8037536.05, 2030.16, 7071.13, 8046993.93
"Janeiro", 0, 626461.50, 0, 0, 626461.50
"Fevereiro", 0, 556859.48, 0, 0, 556859.48
"Março", 0, 887910.01, 0, 2588.05, 890498.06
"Abril", 0, 1160370.11, 0, 0, 1160370.11
"Maio", 0, 1219014.90, 0, 0, 1219014.90
"Junho", 0, 1077760.59, 0, 0, 1077760.59
"Julho", 0, 760448.24, 0, 0, 760448.24
"Agosto", 356.59, 766291.47, 0, 0, 766648.06
"Setembro", 0, 376321.72, 0, 0, 376321.72
"Outubro", 0, 267341.57, 1288.48, 2108.25, 270738.30
"Novembro", 0, 129437.56, 0, 2374.83, 131812.39
"Dezembro", 0, 209318.90, 741.68, 0, 210060.58
"2022", 3625.83, 3473473.81, 7128.72, 21754.44, 3505982.80
"Janeiro", 0, 902801.86, 0, 0, 902801.86
"Fevereiro", 0, 492090.29, 3429.44, 2588.05, 498107.78
"Março", 0, 255791.89, 0, 0, 255791.89
"Abril", 0, 271895.49, 0, 2669.61, 274565.10
"Maio", 0, 279729.02, 0, 3881.29, 283610.31
"Junho", 3277.24, 237607.28, 0, 2648.73, 243533.25
"Julho", 0, 214636.09, 0, 0, 214636.09
"Agosto", 0, 192426.47, 0, 2334.05, 194760.52
"Setembro", 0, 205851.24, 2263.74, 0, 208114.98
"Outubro", 0, 119991.08, 0, 1301.05, 121292.13
"Novembro", 348.59, 247293.64, 0, 6331.66, 253973.89
"Dezembro", 0, 53359.46, 1435.54, 0, 54795.00
"Total", 4331.01, 16921023.26, 21328.90, 56579.10, 17003262.27
