"Ano/mês atendimento", "Aparelho respiratório", "Tratamento de doenças infecciosas e parasitárias", "Traqueia e brônquios", "Pulmão", "Total"
"2019", 11075.56, 2164896.72, 8284.67, 33313.88, 2217570.83
"Janeiro", 0, 0, 0, 0, 0
"Fevereiro", -, 17390.25, -, -, 17390.25
"Março", -, 48555.85, -, -, 48555.85
"Abril", 1694.87, 104523.58, -, 11253.70, 117472.15
"Maio", -, 278274.65, -, 6698.53, 284973.18
"Junho", 348.59, 264182.02, 2071.10, 3534.61, 270136.32
"Julho", 784.18, 294530.19, -, 2978.39, 298292.76
"Agosto", 874.99, 213296.32, 449.48, 2757.75, 217378.54
"Setembro", -, 235687.70, 2110.90, 1660.81, 239459.41
"Outubro", 6675.75, 246281.38, 463.88, 3133.19, 256554.20
"Novembro", -, 231786.57, 463.88, -, 232250.45
"Dezembro", 697.18, 230388.21, 2725.43, 1296.90, 235107.72
"2020", 5686.12, 8675096.12, 7500.51, 37465.00, 8725747.75
"Janeiro", 1394.36, 202081.22, -, 2121.84, 205597.42
"Fevereiro", -, 211978.50, 1225.10, 4349.62, 217553.22
"Março", 846.96, 207694.80, 1548.67, -, 210090.43
"Abril", -, 416037.94, -, 5807.34, 421845.28
"Maio", 1159.46, 841111.77, -, 1565.21, 843836.44
"Junho", 1005.34, 966955.83, -, -, 967961.17
"Julho", -, 1287022.31, -, 7233.15, 1294255.46
"Agosto", -, 1385184.75, 1594.08, 7177.97, 1393956.80
"Setembro", -, 982577.81, 733.68, -, 983311.49
"Outubro", -, 361644.53, -, 1993.48, 363638.01
"Novembro", -, 540408.56, 2019.60, 5501.01, 547929.17
"Dezembro", 1280.00, 1272398.10, 379.38, 1715.38, 1275772.86
"2021", 79416.28, 16496269.27, 5049.62, 53171.58, 16633906.75
"Janeiro", -, 2061588.90, -, -, 2061588.90
"Fevereiro", 837.97, 1152977.48, -, 14472.25, 1168287.70
"Março", -, 2488623.70, 1222.64, -, 2489846.34
"Abril", 4305.54, 2305263.40, -, 12053.69, 2321622.63
"Maio", 66386.77, 2490549.77, 799.68, 4310.87, 2562047.09
"Junho", -, 2270923.27, -, 4361.55, 2275284.82
"Julho", -, 1203763.62, -, 5809.06, 1209572.68
"Agosto", 841.31, 978021.09, 516.22, -, 979378.62
"Setembro", -, 450560.46, -, 5144.85, 455705.31
"Outubro", 796.27, 485174.74, 1253.18, -, 487224.19
"Novembro", -, 321168.65, 733.68, 1674.10, 323576.43
"Dezembro", 6248.42, 287654.19, 524.22, 5345.21, 299772.04
"2022", 6001.50, 4580544.03, 34475.28, 24037.28, 4645058.09
"Janeiro", -, 1053055.53, -, 1918.95, 1054974.48
"Fevereiro", -, 749679.96, -, 2449.57, 752129.53
"Março", -, 272551.17, 7934.37, -, 280485.54
"Abril", -, 235528.81, 499.90, -, 236028.71
"Maio", 1603.49, 241501.52, 463.88, 3999.22, 247568.11
"Junho", -, 409658.70, 1628.96, 2656.47, 413944.13
"Julho", -, 442324.79, 463.88, -, 442788.67
"Agosto", 1364.29, 242542.62, 1518.16, -, 245425.07
"Setembro", 763.49, 212096.77, 516.22, -, 213376.48
"Outubro", 1024.35, 193724.43, 21449.91, 10098.60, 226297.29
"Novembro", 1245.88, 312528.40, -, 2914.47, 316688.75
"Dezembro", -, 215351.33, -, -, 215351.33
"Total", 102179.46, 31916806.14, 55310.08, 147987.74, 32222283.42
