"Ano/mês atendimento", "Aparelho respiratório", "Tratamento de doenças infecciosas e parasitárias", "Traqueia e brônquios", "Pulmão", "Total"
"2019", 34271.11, 717117.72, 10403.31, 0, 761792.14
"Janeiro", -, 7700.17, -, -, 7700.17
"Fevereiro", -, 29646.17, -, -, 29646.17
"Março", 2387.05, 36409.65, -, -, 38796.70
"Abril", 10237.82, 26252.48, 1737.97, -, 38228.27
"Maio", 1528.95, 55866.60, 4074.70, -, 61470.25
"Junho", 1502.98, 84253.47, -, -, 85756.45
"Julho", 747.49, 60615.78, -, -, 61363.27
"Agosto", -, 101546.74, 1937.88, -, 103484.62
"Setembro", 3768.44, 151982.60, -, -, 155751.04
"Outubro", 6547.84, 19217.97, -, -, 25765.81
"Novembro", 5948.19, 18691.09, 733.68, -, 25372.96
"Dezembro", 1602.35, 124935.00, 1919.08, -, 128456.43
"2020", 73077.78, 4860354.19, 30800.56, 5758.41, 4969990.94
"Janeiro", 5593.42, 41046.97, 2501.73, 0, 49142.12
"Fevereiro", 3986.58, 97049.98, 793.70, 2855.68, 104685.94
"Março", 2242.47, 136836.14, 1713.97, -, 140792.58
"Abril", 1762.01, 191283.55, -, 2902.73, 195948.29
"Maio", 2298.63, 347302.68, -, -, 349601.31
"Junho", 9474.82, 434656.77, -, -, 444131.59
"Julho", 6802.15, 899036.07, 733.68, -, 906571.90
"Agosto", 5826.75, 564567.49, 1741.97, -, 572136.21
"Setembro", 3829.39, 540459.45, 22139.65, -, 566428.49
"Outubro", 8288.52, 522498.11, -, -, 530786.63
"Novembro", 5136.17, 371073.42, 1175.86, -, 377385.45
"Dezembro", 17836.87, 714543.56, -, -, 732380.43
"2021", 73682.46, 17060661.31, 10388.50, 0, 17144732.27
"Janeiro", 2442.77, 1234519.50, -, -, 1236962.27
"Fevereiro", 1693.13, 663960.41, 733.68, -, 666387.22
"Março", 21978.03, 2456334.03, 3013.64, -, 2481325.70
"Abril", 2110.11, 2542823.72, 967.66, -, 2545901.49
"Maio", 8877.69, 3145038.02, 1157.70, -, 3155073.41
"Junho", 3912.46, 3051211.57, 3415.30, -, 3058539.33
"Julho", 6140.06, 1983893.02, 1100.52, -, 1991133.60
"Agosto", 13579.76, 938123.99, -, -, 951703.75
"Setembro", 3237.01, 479378.61, -, -, 482615.62
"Outubro", 4864.37, 185847.59, -, -, 190711.96
"Novembro", 4091.58, 74235.51, -, -, 78327.09
"Dezembro", 755.49, 305295.34, -, -, 306050.83
"2022", 110911.71, 3964824.81, 24797.73, 2765.10, 4103299.35
"Janeiro", 1577.68, 784079.26, 0, 0, 785656.94
"Fevereiro", 5172.40, 686070.93, 0, 0, 691243.33
"Março", 11775.82, 488565.80, 8401.85, 0, 508743.47
"Abril", 8117.42, 337193.86, 1582.65, 0, 346893.93
"Maio", 29827.12, 323490.15, 1656.69, 0, 354973.96
"Junho", 3180.11, 238685.59, 0, 0, 241865.70
"Julho", 25517.02, 169409.63, 8127.49, 0, 203054.14
"Agosto", 4868.46, 254084.65, 1100.52, 0, 260053.63
"Setembro", 6762.95, 150478.38, 733.68, 2765.10, 160740.11
"Outubro", 6035.31, 286682.49, 564.94, 0, 293282.74
"Novembro", 6520.70, 149815.88, 1475.36, 0, 157811.94
"Dezembro", 1556.72, 96268.19, 1154.55, 0, 98979.46
"Total", 291943.06, 26628184.05, 76390.10, 8523.51, 27005040.72
