 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 352440 JACAREI
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030502 Tratamento em nefrologia em geral";"041301 Tratamento de queimados";"Total"
"2018";99179,19;1125,25;-;39240,87;19585,18;5798,61;1888,86;-;1348,42;-;34534,65;440,71;82601,57;4629,60;-;9219,87;-;299592,78
"..Novembro/2018";-;-;-;-;-;-;-;-;-;-;1061,14;-;-;-;-;-;-;1061,14
"..Dezembro/2018";99179,19;1125,25;-;39240,87;19585,18;5798,61;1888,86;-;1348,42;-;33473,51;440,71;82601,57;4629,60;-;9219,87;-;298531,64
"2019";1910867,00;54067,62;94544,48;638263,51;553083,94;375846,15;58416,82;628,09;48521,84;11730,53;898449,59;94131,14;1400779,94;117889,52;11677,41;201934,81;1641,15;6472473,54
"..Janeiro/2019";159915,04;2988,08;4359,85;53979,11;82281,43;29094,32;4799,02;-;4139,38;-;93141,75;6079,14;62551,73;10799,45;1641,30;19823,19;-;535592,79
"..Fevereiro/2019";129572,67;4242,89;11939,62;33368,69;25509,14;41319,47;8393,82;-;1931,16;1495,41;106549,04;4841,37;75278,89;8951,35;793,41;2986,53;-;457173,46
"..Março/2019";191933,47;4372,89;13438,48;45237,94;44042,30;32478,54;5312,66;-;5446,14;-;57105,57;7211,59;122882,18;8472,24;-;12428,03;-;550362,03
"..Abril/2019";145330,23;2137,05;8552,85;39947,25;68021,79;38420,79;6398,21;421,39;4179,95;4289,06;44496,31;7894,01;110584,82;9967,39;-;3427,44;-;494068,54
"..Maio/2019";252468,86;8316,54;8030,29;65913,93;59809,59;36966,30;4048,54;-;4596,06;-;65745,99;8613,11;127473,84;12143,44;3919,34;10151,49;-;668197,32
"..Junho/2019";167515,64;2860,39;5662,15;36651,42;23833,42;21047,05;4784,18;-;2911,26;-;109794,26;9333,30;135012,81;10032,00;-;44950,17;-;574388,05
"..Julho/2019";135254,00;6626,56;8165,02;76103,62;29348,13;30007,63;2360,91;-;2822,32;-;84805,26;9884,70;112409,71;9033,84;709,66;9923,02;-;517454,38
"..Agosto/2019";68494,52;7381,47;7386,01;54153,53;49278,99;35501,01;4144,87;-;3516,74;-;57527,20;5927,95;93469,42;9037,30;1434,79;53214,95;-;450468,75
"..Setembro/2019";162213,42;4030,05;4833,23;55713,90;49617,08;29471,14;2855,98;-;3330,68;-;58031,57;12604,73;119294,32;13047,97;-;8956,54;571,36;524571,97
