 Procedimentos hospitalares do SUS - por local de internação - São Paulo
AIH aprovadas por Ano/mês atendimento e Forma organização
Município: 352440 JACAREI
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030502 Tratamento em nefrologia em geral";"041301 Tratamento de queimados";"Total"
"2018";18;2;-;11;8;9;3;-;4;-;13;1;12;3;-;5;-;89
"..Novembro/2018";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"..Dezembro/2018";18;2;-;11;8;9;3;-;4;-;12;1;12;3;-;5;-;88
"2019";515;77;149;757;564;555;122;3;299;3;665;258;459;484;11;173;3;5097
"..Janeiro/2019";34;4;9;68;42;47;13;-;26;-;47;19;34;37;2;15;-;397
"..Fevereiro/2019";39;7;21;52;41;45;17;-;10;1;37;17;26;31;1;10;-;355
"..Março/2019";47;8;20;53;52;40;10;-;34;-;41;19;37;46;-;15;-;422
"..Abril/2019";41;4;15;56;54;53;7;2;23;1;37;24;36;44;-;10;-;407
"..Maio/2019";62;6;14;75;54;53;11;-;29;-;72;26;51;39;1;12;-;505
"..Junho/2019";49;6;12;48;32;39;9;-;18;-;101;22;38;37;-;24;-;435
"..Julho/2019";44;8;13;57;39;52;8;-;15;-;60;20;39;38;1;11;-;405
"..Agosto/2019";35;11;11;74;50;49;11;-;21;-;54;21;37;39;2;16;-;431
"..Setembro/2019";43;5;5;65;46;45;9;-;22;-;56;28;31;47;-;14;1;417
"..Outubro/2019";36;7;15;70;49;43;8;1;40;-;59;20;46;53;2;16;1;466
"..Novembro/2019";44;5;9;67;56;44;14;-;26;1;56;16;37;39;1;15;-;430
"..Dezembro/2019";41;6;5;72;49;45;5;-;35;-;45;26;47;34;1;15;1;427
"2020";841;52;58;652;388;528;78;7;349;-;540;193;442;488;8;174;1;4799
"..Janeiro/2020";35;5;5;48;40;52;13;-;25;-;32;29;33;49;2;19;-;387
"..Fevereiro/2020";46;6;7;45;44;59;8;-;30;-;42;13;36;48;-;16;1;401
"..Março/2020";46;6;8;54;39;24;3;-;30;-;54;20;44;52;1;14;-;395
"..Abril/2020";33;3;1;52;25;36;5;1;22;-;17;15;36;36;-;12;-;294
"..Maio/2020";39;3;1;57;25;43;3;1;24;-;18;12;35;31;-;13;-;305
"..Junho/2020";73;5;5;45;33;40;8;1;27;-;64;8;37;35;1;19;-;401
"..Julho/2020";105;3;4;58;28;37;4;-;34;-;88;18;44;32;1;12;-;468
"..Agosto/2020";125;4;11;58;30;37;10;-;34;-;43;16;28;27;-;13;-;436
"..Setembro/2020";102;3;3;68;28;55;5;2;29;-;45;16;41;44;-;16;-;457
"..Outubro/2020";66;3;10;55;34;46;3;1;37;-;49;12;49;41;2;14;-;422
"..Novembro/2020";59;3;1;57;35;45;11;1;25;-;46;13;28;50;-;11;-;385
"..Dezembro/2020";112;8;2;55;27;54;5;-;32;-;42;21;31;43;1;15;-;448
"2021";1397;51;62;600;404;518;66;6;293;1;716;211;479;452;7;160;-;5423
"  Janeiro/2021";132;4;7;46;25;48;4;-;34;-;36;6;34;43;-;22;-;441
"  Fevereiro/2021";99;3;6;55;26;40;7;-;30;-;55;8;41;29;-;15;-;414
"  Março/2021";162;3;6;54;31;49;7;2;23;-;87;18;39;48;-;15;-;544
"  Abril/2021";185;2;5;54;21;42;4;-;20;-;52;16;37;27;-;16;-;481
"  Maio/2021";222;2;4;83;26;50;4;1;16;-;56;15;53;33;1;12;-;578
"  Junho/2021";176;1;3;55;22;30;2;-;25;-;59;19;39;38;-;14;-;483
"  Julho/2021";126;3;4;54;41;39;7;1;16;-;68;21;41;41;1;3;-;466
"  Agosto/2021";113;6;3;40;37;46;5;-;20;-;81;17;45;36;1;15;-;465
"  Setembro/2021";58;5;5;43;29;38;8;-;27;-;33;13;40;40;1;7;-;347
"  Outubro/2021";43;8;5;39;51;50;7;1;25;1;34;22;35;46;1;17;-;385
"  Novembro/2021";33;8;9;37;41;46;4;1;24;-;81;26;36;32;-;17;-;395
"  Dezembro/2021";48;6;5;40;54;40;7;-;33;-;74;30;39;39;2;7;-;424
"2022";713;79;103;515;615;441;90;5;281;-;772;327;424;555;5;168;-;5093
"..Janeiro/2022";155;12;8;29;38;30;10;-;24;-;80;26;40;32;2;13;-;499
"..Fevereiro/2022";97;5;8;41;49;34;5;-;18;-;43;23;42;32;-;20;-;417
"..Março/2022";62;5;6;47;54;39;12;3;22;-;67;40;34;42;-;22;-;455
"..Abril/2022";48;5;9;44;44;30;13;-;26;-;56;37;40;41;1;16;-;410
"..Maio/2022";55;11;4;34;45;51;10;1;27;-;83;18;54;52;-;13;-;458
"..Junho/2022";48;4;11;47;50;36;8;-;19;-;81;33;51;49;-;8;-;445
"..Julho/2022";57;7;4;41;75;42;5;-;28;-;72;18;41;53;-;13;-;456
"..Agosto/2022";41;8;11;50;71;49;5;-;20;-;62;30;39;59;1;14;-;460
"..Setembro/2022";43;3;12;51;44;42;3;-;23;-;74;24;38;38;-;10;-;405
"..Outubro/2022";28;8;10;51;49;32;9;1;25;-;58;36;30;56;1;15;-;409
"..Novembro/2022";55;7;13;51;57;32;6;-;26;-;54;19;15;58;-;17;-;410
"..Dezembro/2022";24;4;7;29;39;24;4;-;23;-;42;23;-;43;-;7;-;269
"Total";3484;261;372;2535;1979;2051;359;21;1226;4;2706;990;1816;1982;31;680;4;20501
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
