"Ano/mês atendimento", "Aparelho respiratório", "Tratamento de doenças infecciosas e parasitárias", "Traqueia e brônquios", "Pulmão", "Total"
"2019", 9, 874, 8, 11, 902
"Janeiro", 0, 0, 0, 0, 0
"Fevereiro", 0, 17, 0, 0, 17
"Março", 0, 24, 0, 0, 24
"Abril", 1, 45, 0, 1, 47
"Maio", 0, 99, 0, 3, 102
"Junho", 1, 110, 1, 2, 114
"Julho", 1, 96, 0, 1, 98
"Agosto", 1, 69, 1, 1, 72
"Setembro", 0, 111, 1, 1, 113
"Outubro", 3, 111, 1, 1, 116
"Novembro", 0, 98, 1, 0, 99
"Dezembro", 2, 94, 3, 1, 100
"2020", 8, 2159, 11, 14, 2192
"Janeiro", 4, 90, 0, 1, 95
"Fevereiro", 0, 86, 1, 1, 88
"Março", 1, 70, 3, 0, 74
"Abril", 0, 98, 0, 2, 100
"Maio", 1, 175, 0, 1, 177
"Junho", 1, 241, 0, 0, 242
"Julho", 0, 329, 0, 3, 332
"Agosto", 0, 304, 2, 2, 308
"Setembro", 0, 224, 1, 0, 225
"Outubro", 0, 128, 0, 1, 129
"Novembro", 0, 144, 3, 2, 149
"Dezembro", 1, 270, 1, 1, 273
"2021", 7, 3834, 8, 12, 3861
"Janeiro", 0, 418, 0, 0, 418
"Fevereiro", 1, 267, 0, 1, 269
"Março", 0, 529, 3, 0, 532
"Abril", 1, 556, 0, 3, 560
"Maio", 2, 623, 1, 1, 627
"Junho", 0, 517, 0, 2, 519
"Julho", 0, 286, 0, 1, 287
"Agosto", 1, 180, 1, 0, 182
"Setembro", 0, 149, 0, 1, 150
"Outubro", 1, 116, 1, 0, 118
"Novembro", 0, 110, 1, 1, 112
"Dezembro", 1, 83, 1, 2, 87
"2022", 5, 1421, 16, 6, 1448
"Janeiro", 0, 279, 0, 1, 280
"Fevereiro", 0, 160, 0, 1, 161
"Março", 0, 96, 4, 0, 100
"Abril", 0, 102, 1, 0, 103
"Maio", 1, 89, 1, 1, 92
"Junho", 0, 129, 3, 1, 133
"Julho", 0, 126, 1, 0, 127
"Agosto", 1, 91, 2, 0, 94
"Setembro", 1, 84, 1, 0, 86
"Outubro", 1, 71, 3, 1, 76
"Novembro", 1, 110, 0, 1, 112
"Dezembro", 0, 84, 0, 0, 84
"Total", 29, 8288, 43, 43, 8403
