 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Valor total por Ano/mês atendimento e Forma organização
Município: 354990 SAO JOSE DOS CAMPOS, 355410 TAUBATE
Forma organização: 030301 Tratamento de doenças infecciosas e parasitárias, 030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários, 030303 Tratamento de doenças endocrinas, metabólicas e nutricionais, 030304 Tratamento de doenças do sistema nervoso central e periférico, 030305 Tratamento de doenças do aparelho da visão, 030306 Tratamento de doenças cardiovasculares, 030307 Tratamento de doenças do aparelho digestivo, 030308 Tratamento de doenças da pele e do tecido  subcutâneo, 030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo, 030310 Tratamento durante a gestação, parto e puerpério, 030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas, 030312 Tratamentos por medicina nuclear in vivo, 030313 Tratamento de pacientes sob cuidados prolongados, 030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas, 030315 Tratamento das doenças do aparelho geniturinário, 030316 Tratamento de algumas afecçõess originadas no período neonatal, 030317 Tratamento dos transtornos mentais e comportamentais, 030318 Tratamento HIV/Aids, 030501 Tratamento dialítico, 030502 Tratamento em nefrologia em geral, 040305 Tratamento neurocirúrgico da dor funcional, 040307 Tratamento neuro-endovascular, 041301 Tratamento de queimados, 060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia, 060459 Retinóides para tratamento da acne, 060460 Retinóides para tratamento da psoríase
Período:2019-2022
"Ano/mês atendimento";"030301 Tratamento de doenças infecciosas e parasitárias";"030302 Tratamento de doenças do sangue, orgãos hematopoéticos e alguns transtornos imunitários";"030303 Tratamento de doenças endocrinas, metabólicas e nutricionais";"030304 Tratamento de doenças do sistema nervoso central e periférico";"030305 Tratamento de doenças do aparelho da visão";"030306 Tratamento de doenças cardiovasculares";"030307 Tratamento de doenças do aparelho digestivo";"030308 Tratamento de doenças da pele e do tecido  subcutâneo";"030309 Tratamento de doenças do sistema osteomuscular e do tecido conjuntivo";"030310 Tratamento durante a gestação, parto e puerpério";"030311 Tratamento de malformações congênitas, deformidades e anomalias cromossômicas";"030314 Tratamento de doenças do ouvido/apófise mastóide e vias aéreas";"030315 Tratamento das doenças do aparelho geniturinário";"030316 Tratamento de algumas afecçõess originadas no período neonatal";"030317 Tratamento dos transtornos mentais e comportamentais";"030318 Tratamento HIV/Aids";"030501 Tratamento dialítico";"030502 Tratamento em nefrologia em geral";"040305 Tratamento neurocirúrgico da dor funcional";"041301 Tratamento de queimados";"Total"
"2018";343625,19;56539,26;16023,15;332617,88;-;325643,62;71169,64;14656,49;2878,48;7617,94;42689,22;603600,63;34107,88;756235,86;1415776,43;1147,09;-;134977,38;-;38765,05;4198071,19
"..Junho/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;91762,12;-;-;-;-;-;-;91762,12
"..Agosto/2018";-;-;-;-;-;-;-;-;-;-;-;-;-;75202,30;-;-;-;-;-;-;75202,30
"..Setembro/2018";42128,86;-;-;24744,82;-;-;-;-;-;-;-;-;-;55013,85;-;-;-;-;-;-;121887,53
"..Outubro/2018";52719,10;-;-;16127,88;-;1025,04;-;-;-;110,24;-;7077,78;3483,50;-;-;-;-;1577,33;-;-;82120,87
"..Novembro/2018";59161,90;2606,43;360,80;104295,15;-;19875,07;5136,79;1609,96;542,06;2158,08;30912,86;268331,99;5440,72;135568,10;1647,98;-;-;29178,47;-;-;666826,36
"..Dezembro/2018";189615,33;53932,83;15662,35;187450,03;-;304743,51;66032,85;13046,53;2336,42;5349,62;11776,36;328190,86;25183,66;398689,49;1414128,45;1147,09;-;104221,58;-;38765,05;3160272,01
"2019";3588442,87;448654,02;389163,06;3160267,67;8915,98;5246020,25;2017884,53;301834,06;74870,26;314249,35;244894,81;6344420,90;889460,70;6154750,99;1978208,56;85601,33;34700,85;2494031,09;91895,15;372072,06;34240338,49
"..Janeiro/2019";211595,58;27092,24;32516,89;262590,16;1488,45;405902,64;158776,67;29423,75;27184,56;26967,96;13193,04;480744,88;63232,64;647642,85;110846,79;7339,58;2497,34;195558,24;11558,57;26430,15;2742582,98
"..Fevereiro/2019";255447,41;41491,98;22938,17;395071,01;1246,85;400825,80;157743,14;26083,59;2359,55;40243,48;19764,49;284748,92;55655,45;433653,72;117128,68;6447,95;1758,92;204762,42;27002,44;47450,96;2541824,93
"..Março/2019";273729,30;34048,59;21559,52;236989,16;1380,40;428508,67;167687,88;26096,08;10938,68;21645,15;35327,99;511676,08;65179,16;407482,92;290048,07;4420,12;-;171854,09;9097,08;38396,60;2756065,54
"..Abril/2019";236134,29;18454,38;15797,09;235463,13;523,80;426902,10;168672,52;25922,63;3345,20;21597,17;9743,54;603373,38;82001,11;468828,89;119466,58;5377,90;1291,22;244767,38;1825,23;35016,82;2724504,36
"..Maio/2019";334141,25;29630,74;30575,26;278110,72;705,05;449640,21;165569,49;27049,64;3489,26;38738,82;7227,65;801528,47;79409,79;602090,41;181474,23;3200,51;484,62;240462,25;8123,73;26088,96;3307741,06
